Temperature	300 K	315 K	330 K	345 K	360 K	400 K	415 K	430 K	445 K
Time	AI	AI	AI	AI	AI	AI	AI	AI	AI
41.5356E+0	73.8164E-9	81.4863E-9	91.0628E-9	104.4178E-9	117.5409E-9	121.2449E-9	128.8693E-9	82.2687E-9	87.8623E-9
42.5681E+0	72.8765E-9	80.8940E-9	91.0008E-9	103.9461E-9	116.3698E-9	119.9893E-9	127.0048E-9	81.4397E-9	87.8868E-9
43.6006E+0	72.6160E-9	80.5610E-9	90.4849E-9	103.2595E-9	115.5881E-9	118.5265E-9	124.9119E-9	81.0967E-9	87.3222E-9
44.6331E+0	72.2004E-9	79.9956E-9	90.1902E-9	102.3627E-9	114.0612E-9	116.6918E-9	123.4695E-9	80.8391E-9	86.5997E-9
45.6656E+0	71.9665E-9	79.3951E-9	89.5728E-9	101.6642E-9	113.3809E-9	115.6506E-9	121.8772E-9	80.3819E-9	86.2173E-9
46.6981E+0	71.4158E-9	79.5222E-9	88.3560E-9	101.3568E-9	112.3614E-9	115.0260E-9	120.6033E-9	79.8648E-9	85.7641E-9
47.7306E+0	70.8442E-9	78.4164E-9	87.8234E-9	100.3504E-9	111.2867E-9	113.7445E-9	119.3108E-9	79.6253E-9	85.3541E-9
48.7631E+0	70.4675E-9	78.2243E-9	87.6022E-9	99.0766E-9	110.1483E-9	112.7110E-9	118.1176E-9	79.5304E-9	84.6513E-9
49.7957E+0	70.4354E-9	78.0780E-9	86.8252E-9	98.8710E-9	109.9246E-9	112.1391E-9	116.7979E-9	79.2638E-9	84.4737E-9
50.8282E+0	70.3240E-9	77.8940E-9	86.4377E-9	98.1921E-9	108.5781E-9	110.2737E-9	114.9776E-9	78.8485E-9	84.0643E-9
51.8606E+0	70.1283E-9	77.3257E-9	86.0906E-9	98.0876E-9	107.1263E-9	109.8644E-9	114.0655E-9	78.3219E-9	83.8633E-9
52.8931E+0	69.7654E-9	77.1287E-9	85.4072E-9	97.0558E-9	106.1336E-9	108.3532E-9	112.7110E-9	77.9658E-9	83.6916E-9
53.9256E+0	69.2914E-9	75.8917E-9	84.9454E-9	96.1756E-9	105.9153E-9	107.2203E-9	111.0520E-9	77.6491E-9	83.2743E-9
54.9581E+0	68.3201E-9	75.6001E-9	84.4925E-9	95.7599E-9	104.8423E-9	105.7117E-9	109.8449E-9	77.5152E-9	82.4562E-9
55.9907E+0	67.8583E-9	75.1267E-9	83.8811E-9	94.9680E-9	103.7061E-9	104.8174E-9	108.2097E-9	77.5070E-9	81.9870E-9
57.0232E+0	67.6958E-9	75.3249E-9	83.5691E-9	94.3502E-9	102.8793E-9	103.3398E-9	107.0199E-9	77.1009E-9	81.8523E-9
58.0557E+0	67.5230E-9	74.4822E-9	83.2082E-9	94.1387E-9	102.1401E-9	102.5831E-9	105.8399E-9	76.9258E-9	81.5107E-9
59.0882E+0	67.2863E-9	74.3395E-9	82.3449E-9	93.6054E-9	101.5465E-9	100.9250E-9	104.9036E-9	76.8761E-9	81.0211E-9
60.1206E+0	66.5075E-9	74.1141E-9	82.1809E-9	93.3973E-9	100.3083E-9	100.7106E-9	103.4858E-9	76.4955E-9	80.9156E-9
61.1531E+0	66.0881E-9	74.1338E-9	81.6807E-9	92.7387E-9	100.3461E-9	99.3170E-9	102.6018E-9	75.9596E-9	81.1305E-9
62.1857E+0	66.2746E-9	73.7335E-9	81.4423E-9	92.1613E-9	98.8230E-9	98.5374E-9	101.5687E-9	75.9145E-9	80.4166E-9
63.2182E+0	65.6861E-9	73.3962E-9	80.9997E-9	91.4568E-9	98.3589E-9	97.5442E-9	100.6019E-9	75.6300E-9	80.0987E-9
64.2507E+0	65.3080E-9	73.5076E-9	80.5940E-9	90.9732E-9	97.5759E-9	96.8024E-9	99.8065E-9	75.4163E-9	80.0993E-9
65.2832E+0	65.0798E-9	73.1121E-9	80.1525E-9	90.3961E-9	96.9984E-9	95.6759E-9	99.1616E-9	75.3420E-9	79.3403E-9
66.3157E+0	65.3703E-9	72.2810E-9	79.2023E-9	89.6609E-9	95.7993E-9	95.1519E-9	98.3624E-9	75.1972E-9	79.2236E-9
67.3481E+0	65.0085E-9	71.9760E-9	79.3198E-9	89.3314E-9	95.4061E-9	94.3401E-9	96.7773E-9	75.0270E-9	78.8800E-9
68.3807E+0	64.8486E-9	71.9888E-9	78.5314E-9	88.4916E-9	94.6477E-9	93.2365E-9	95.0729E-9	74.7011E-9	78.3037E-9
69.4132E+0	64.5813E-9	71.8530E-9	78.4746E-9	88.0778E-9	94.6617E-9	92.3660E-9	94.3188E-9	74.2147E-9	78.4355E-9
70.4457E+0	64.3474E-9	71.4223E-9	78.3793E-9	88.4721E-9	94.3123E-9	91.8302E-9	93.7307E-9	74.3024E-9	77.9103E-9
71.4782E+0	63.9959E-9	70.8961E-9	77.8568E-9	87.2656E-9	93.2711E-9	90.5729E-9	92.8730E-9	74.3463E-9	77.5727E-9
72.5107E+0	63.6704E-9	70.7016E-9	77.8577E-9	87.1328E-9	92.5230E-9	90.6718E-9	91.9894E-9	73.9451E-9	77.5340E-9
73.5432E+0	63.3382E-9	69.9675E-9	77.3320E-9	86.5005E-9	91.8385E-9	89.8737E-9	90.9661E-9	73.6228E-9	77.2368E-9
74.5757E+0	62.9911E-9	69.8410E-9	76.8086E-9	86.1502E-9	91.5845E-9	88.4733E-9	89.6131E-9	73.4316E-9	77.0052E-9
75.6082E+0	62.6396E-9	69.8919E-9	76.7618E-9	85.5112E-9	90.1107E-9	88.2101E-9	88.8221E-9	73.0728E-9	76.3539E-9
76.6408E+0	62.4839E-9	69.1830E-9	76.3482E-9	85.3594E-9	89.2322E-9	87.5174E-9	88.1081E-9	72.7615E-9	76.5196E-9
77.6733E+0	62.4763E-9	69.4638E-9	75.4922E-9	85.0162E-9	89.0130E-9	86.5201E-9	87.0454E-9	72.9143E-9	76.1381E-9
