Voltage (V), Current (A), Power (W)
0000.00000000, 0000.99365270, 0000.00000000
0000.83394400, 0000.99174850, 0000.82706260
0000.94993900, 0000.98892090, 0000.93941440
0001.06837600, 0000.98747240, 0001.05499200
0001.14529900, 0000.98485580, 0001.12795500
0001.18925500, 0000.98462020, 0001.17096500
0001.24175800, 0000.98314560, 0001.22082900
0001.28205100, 0000.98180820, 0001.25872900
0001.35164800, 0000.98105250, 0001.32603800
0001.42612900, 0000.98333320, 0001.40236000
0001.50305200, 0000.98064840, 0001.47396600
0001.59462800, 0000.97965250, 0001.56218100
0001.67155100, 0000.97928890, 0001.63693100
0001.71917000, 0000.97730680, 0001.68015600
0001.76678900, 0000.97295730, 0001.71901000
0001.83638600, 0000.97042480, 0001.78207500
0001.92063500, 0000.96969860, 0001.86243700
0002.00610500, 0000.96793330, 0001.94177600
0002.12454200, 0000.96346320, 0002.04691800
0002.23565300, 0000.95910330, 0002.14422300
0002.32234400, 0000.95501170, 0002.21786600
0002.37362600, 0000.95025690, 0002.25555500
0002.42735100, 0000.94509080, 0002.29406700
0002.44566500, 0000.94187580, 0002.30351300
0002.46275900, 0000.93815820, 0002.31045800
0002.47985300, 0000.93323500, 0002.31428600
0002.49694800, 0000.92811380, 0002.31745100
0002.50671600, 0000.92332730, 0002.31451900
0002.51770400, 0000.91751730, 0002.31003700
0002.52747300, 0000.91391700, 0002.30990000
0002.53602000, 0000.91045730, 0002.30893700
0002.54212500, 0000.90624520, 0002.30378800
0002.54945100, 0000.90276180, 0002.30154700
0002.56044000, 0000.89701720, 0002.29675800
0002.57387100, 0000.88916350, 0002.28859200
0002.58486000, 0000.88551370, 0002.28892900
0002.59707000, 0000.87762390, 0002.27925000
0002.61172200, 0000.86757300, 0002.26585900
0002.62149000, 0000.86262630, 0002.26136600
0002.63370000, 0000.85300820, 0002.24656700
0002.64591000, 0000.84091380, 0002.22498200
0002.65812000, 0000.82986560, 0002.20588200
0002.67155100, 0000.81724010, 0002.18329800
0002.68620300, 0000.80253970, 0002.15578400
0002.69597100, 0000.79337690, 0002.13892100
0002.70818100, 0000.78194470, 0002.11764800
0002.71917000, 0000.77070520, 0002.09567800
0002.72527500, 0000.76598270, 0002.08751300
0002.73504300, 0000.75501720, 0002.06500500
0002.74481100, 0000.74242190, 0002.03780700
0002.75457900, 0000.72971110, 0002.01004700
0002.76434700, 0000.71908390, 0001.98779700
0002.77655700, 0000.70224530, 0001.94982400
0002.78632500, 0000.68921920, 0001.92038900
0002.79609300, 0000.67512200, 0001.88770400
0002.80586100, 0000.66003340, 0001.85196200
0002.81685000, 0000.64279310, 0001.81065200
0002.82783900, 0000.62555140, 0001.76895900
0002.83882800, 0000.60929980, 0001.72969700
0002.85103800, 0000.59345960, 0001.69197600
0002.86202700, 0000.57774250, 0001.65351500
0002.87423700, 0000.55723910, 0001.60163700
0002.88400500, 0000.54261350, 0001.56490000
0002.89499400, 0000.52155890, 0001.50991000
0002.90354100, 0000.50450030, 0001.46483700
0002.91575100, 0000.48198330, 0001.40534300
0002.92551900, 0000.46565350, 0001.36227800
0002.93772900, 0000.44111430, 0001.29587400
0002.94749700, 0000.42290960, 0001.24652500
0002.96214900, 0000.39666980, 0001.17499500
0002.97435900, 0000.37424000, 0001.11312400
0002.98656900, 0000.34930010, 0001.04320900
0002.99877900, 0000.32208240, 0000.96585410
0003.00976800, 0000.30069860, 0000.90503290
0003.01953600, 0000.27718980, 0000.83698460
0003.02930400, 0000.25405140, 0000.76959890
0003.04029300, 0000.22988000, 0000.69890270
0003.05128200, 0000.20795330, 0000.63452420
0003.06593400, 0000.17658720, 0000.54140460
0003.07814400, 0000.14896430, 0000.45853370
0003.09035400, 0000.12085910, 0000.37349740
0003.10134300, 0000.09227111, 0000.28616440
0003.11355300, 0000.06266181, 0000.19510090
0003.12210000, 0000.03886012, 0000.12132520
0003.12942600, 0000.00000000, 0000.00000000
