Voltage (V), Current (A), Power (W)
0000.00000000, 0000.98385670, 0000.00000000
0000.20268620, 0000.98111140, 0000.19885780
0000.24175830, 0000.98031170, 0000.23699840
0000.29670330, 0000.97815820, 0000.29022270
0000.36630040, 0000.97539570, 0000.35728780
0000.41758240, 0000.97491170, 0000.40710600
0000.47496950, 0000.97314150, 0000.46221250
0000.53113560, 0000.97171560, 0000.51611270
0000.57264960, 0000.97219430, 0000.55672670
0000.63125770, 0000.97168860, 0000.61338590
0000.68742370, 0000.96847060, 0000.66574960
0000.74969470, 0000.96866160, 0000.72620050
0000.81440780, 0000.96612280, 0000.78681790
0000.90964590, 0000.96355710, 0000.87649570
0000.99145300, 0000.96091550, 0000.95270250
0001.07326000, 0000.95944580, 0001.02973500
0001.16605600, 0000.95787950, 0001.11694100
0001.25152600, 0000.95550060, 0001.19583400
0001.30647100, 0000.95454710, 0001.24708800
0001.37973100, 0000.95287210, 0001.31470800
0001.52381000, 0000.94904580, 0001.44616500
0001.66666700, 0000.94349520, 0001.57249200
0001.84249100, 0000.93651210, 0001.72551500
0002.02808300, 0000.92582070, 0001.87764100
0002.18070800, 0000.91699210, 0001.99969200
0002.26251500, 0000.91303100, 0002.06574700
0002.33089100, 0000.90710220, 0002.11435700
0002.36141600, 0000.90367250, 0002.13394700
0002.39072000, 0000.89918940, 0002.14971000
0002.41758200, 0000.89466670, 0002.16293000
0002.45421200, 0000.88546570, 0002.17312100
0002.48229600, 0000.88012390, 0002.18472800
0002.51037900, 0000.87391010, 0002.19384500
0002.52991500, 0000.86788080, 0002.19566400
0002.55067200, 0000.86198240, 0002.19863400
0002.56898600, 0000.85296040, 0002.19124400
0002.58730200, 0000.84310900, 0002.18137700
0002.60805900, 0000.83004080, 0002.16479500
0002.63003700, 0000.81993120, 0002.15644900
0002.65079400, 0000.80901640, 0002.14453600
0002.66544600, 0000.79942050, 0002.13081200
0002.67643500, 0000.79033670, 0002.11528400
0002.69108700, 0000.77843610, 0002.09483900
0002.70329700, 0000.76865940, 0002.07791400
0002.71672800, 0000.75699780, 0002.05655700
0002.72893800, 0000.74634550, 0002.03673000
0002.74114800, 0000.73724530, 0002.02089900
0002.74969500, 0000.72946500, 0002.00580600
0002.76068400, 0000.71712110, 0001.97974500
0002.77167300, 0000.70326420, 0001.94921900
0002.78266200, 0000.69224680, 0001.92628900
0002.79609300, 0000.67599150, 0001.89013500
0002.80830300, 0000.66248510, 0001.86045900
0002.82173400, 0000.64756160, 0001.82724700
0002.83516500, 0000.63277380, 0001.79401800
0002.84737500, 0000.61583050, 0001.75350000
0002.85958500, 0000.59976950, 0001.71509200
0002.87179500, 0000.58235250, 0001.67239700
0002.88156300, 0000.56557820, 0001.62974900
0002.89133100, 0000.54859810, 0001.58617900
0002.90232000, 0000.53010230, 0001.53852600
0002.91330900, 0000.51154860, 0001.49029900
0002.92307700, 0000.49585090, 0001.44941000
0002.93528700, 0000.47723800, 0001.40083100
0002.94749700, 0000.45828170, 0001.35078400
0002.95970700, 0000.43999110, 0001.30224500
0002.97191700, 0000.41802770, 0001.24234400
0002.98534800, 0000.39413650, 0001.17663500
0002.99755800, 0000.36973880, 0001.10831400
0003.00854700, 0000.34617000, 0001.04146900
0003.01953600, 0000.32241340, 0000.97353890
0003.03052500, 0000.29915200, 0000.90658770
0003.04151400, 0000.27429720, 0000.83427890
0003.05250300, 0000.25096070, 0000.76605830
0003.06471300, 0000.22555090, 0000.69124860
0003.07692300, 0000.19840620, 0000.61048060
0003.08913300, 0000.17246000, 0000.53275190
0003.10134300, 0000.14591810, 0000.45254220
0003.11355300, 0000.11859720, 0000.36925880
0003.12576300, 0000.09135421, 0000.28555160
0003.13675200, 0000.06244912, 0000.19588740
0003.14529900, 0000.03835688, 0000.12064390
0003.15140400, 0000.00000000, 0000.00000000
