Voltage (V), Current (A), Power (W)
0000.00000000, 0000.99678820, 0000.00000000
0000.14285720, 0000.99318580, 0000.14188370
0000.17216120, 0000.99183210, 0000.17075500
0000.23443230, 0000.98887100, 0000.23182330
0000.30402930, 0000.99045890, 0000.30112850
0000.44688650, 0000.98999670, 0000.44241610
0000.58241760, 0000.99165330, 0000.57755630
0000.72649570, 0000.98884190, 0000.71838950
0000.83882780, 0000.98976010, 0000.83023830
0000.97924300, 0000.98633450, 0000.96586110
0001.07692300, 0000.98600310, 0001.06185000
0001.19169700, 0000.98373330, 0001.17231200
0001.28937700, 0000.98499320, 0001.27002800
0001.41025700, 0000.98070340, 0001.38304300
0001.50549500, 0000.97909300, 0001.47401900
0001.58119700, 0000.97811170, 0001.54658700
0001.63247900, 0000.97658790, 0001.59425900
0001.71062300, 0000.97432910, 0001.66671000
0001.77167300, 0000.97511830, 0001.72759100
0001.84004900, 0000.97484620, 0001.79376500
0001.89865700, 0000.97317250, 0001.84772100
0001.96214900, 0000.97196930, 0001.90714800
0002.00732600, 0000.96929690, 0001.94569500
0002.07570200, 0000.96574580, 0002.00460100
0002.13553100, 0000.96350100, 0002.05758600
0002.20390700, 0000.96094970, 0002.11784400
0002.26739900, 0000.95809650, 0002.17238700
0002.32722800, 0000.95646910, 0002.22592200
0002.35653200, 0000.95543830, 0002.25152100
0002.38339400, 0000.95145710, 0002.26769800
0002.39926700, 0000.94843920, 0002.27555900
0002.41636100, 0000.94612410, 0002.28617800
0002.43345500, 0000.94360510, 0002.29622100
0002.45787500, 0000.93828300, 0002.30618300
0002.47863200, 0000.93085510, 0002.30724800
0002.50061100, 0000.92452540, 0002.31187800
0002.52136800, 0000.91525850, 0002.30770300
0002.53968300, 0000.90529890, 0002.29917200
0002.55067200, 0000.89976470, 0002.29500400
0002.56044000, 0000.89473980, 0002.29092700
0002.57265000, 0000.88716300, 0002.28236000
0002.58363900, 0000.88393010, 0002.28375600
0002.59462800, 0000.87715730, 0002.27589700
0002.60805900, 0000.86871890, 0002.26567000
0002.62026900, 0000.85973290, 0002.25273100
0002.62881600, 0000.85173620, 0002.23905700
0002.63858400, 0000.84411560, 0002.22727000
0002.64835200, 0000.83690550, 0002.21642000
0002.65689900, 0000.83082860, 0002.20742800
0002.66666700, 0000.82319520, 0002.19518700
0002.67765600, 0000.81543770, 0002.18346100
0002.68742400, 0000.80312850, 0002.15834700
0002.69841300, 0000.79274800, 0002.13916200
0002.70940200, 0000.78035310, 0002.11429000
0002.72161200, 0000.76743200, 0002.08865200
0002.73382200, 0000.75315170, 0002.05898200
0002.74725300, 0000.73928530, 0002.03100400
0002.75946300, 0000.72688260, 0002.00580600
0002.77167300, 0000.71168550, 0001.97255900
0002.78144100, 0000.69861060, 0001.94314400
0002.79243000, 0000.68440710, 0001.91115900
0002.80219800, 0000.67048400, 0001.87882900
0002.80952400, 0000.65587940, 0001.84270900
0002.82051300, 0000.63994150, 0001.80496300
0002.83150200, 0000.62483000, 0001.76920800
0002.84249100, 0000.60890250, 0001.73080000
0002.85348000, 0000.59291840, 0001.69188100
0002.86569000, 0000.57670830, 0001.65266700
0002.87667900, 0000.55693460, 0001.60212200
0002.88644700, 0000.53798190, 0001.55285600
0002.89621500, 0000.51976290, 0001.50534500
0002.90720400, 0000.49913900, 0001.45109900
0002.91941400, 0000.47681790, 0001.39202900
0002.93162400, 0000.45586540, 0001.33642600
0002.94261300, 0000.43793530, 0001.28867400
0002.95238100, 0000.41818840, 0001.23465200
0002.96337000, 0000.39661300, 0001.17531100
0002.97435900, 0000.37382430, 0001.11188800
0002.98290600, 0000.35592590, 0001.06169400
0002.99511600, 0000.32940750, 0000.98661380
0003.00854700, 0000.29992830, 0000.90234850
0003.01831500, 0000.28099040, 0000.84811770
0003.03052500, 0000.25556290, 0000.77448990
0003.04273500, 0000.22811620, 0000.69409720
0003.05372400, 0000.20226900, 0000.61767360
0003.06471300, 0000.17992990, 0000.55143370
0003.07814400, 0000.14792000, 0000.45531920
0003.08913300, 0000.12086380, 0000.37336440
0003.10134300, 0000.09304479, 0000.28856380
0003.11233200, 0000.06558432, 0000.20412020
0003.12210000, 0000.04100859, 0000.12803290
0003.12942600, 0000.02228745, 0000.06974694
0003.13431000, 0000.00000000, 0000.00000000
