Voltage (V), Current (A), Power (W)
0000.00000000, 0000.98209670, 0000.00000000
0000.16849820, 0000.98239990, 0000.16553260
0000.23565320, 0000.98217710, 0000.23145320
0000.35653240, 0000.97972410, 0000.34930340
0000.46642250, 0000.97647920, 0000.45545180
0000.54456650, 0000.97442230, 0000.53063780
0000.62515270, 0000.97270720, 0000.60809050
0000.70573870, 0000.96975690, 0000.68439500
0000.74847380, 0000.97061560, 0000.72648030
0000.80341880, 0000.96919900, 0000.77867270
0000.85103790, 0000.96752090, 0000.82339690
0000.88888900, 0000.96716060, 0000.85969840
0000.94017090, 0000.96923820, 0000.91124960
0000.97680100, 0000.96754770, 0000.94510160
0001.00122100, 0000.96732440, 0000.96850550
0001.02930400, 0000.96775820, 0000.99611740
0001.05982900, 0000.96642370, 0001.02424400
0001.08180700, 0000.96466650, 0001.04358300
0001.10989000, 0000.96454510, 0001.07053900
0001.14529900, 0000.96465590, 0001.10482000
0001.20757000, 0000.96245650, 0001.16223400
0001.28571400, 0000.96078410, 0001.23529400
0001.36263700, 0000.95769390, 0001.30498900
0001.43833900, 0000.95627580, 0001.37544900
0001.50915800, 0000.95414910, 0001.43996100
0001.59951200, 0000.95110780, 0001.52130800
0001.68620300, 0000.94697860, 0001.59679800
0001.77411500, 0000.94416430, 0001.67505600
0001.89255200, 0000.93812050, 0001.77544200
0002.00976800, 0000.93264280, 0001.87439600
0002.09523800, 0000.92873490, 0001.94592100
0002.16727700, 0000.92213860, 0001.99853000
0002.23321100, 0000.91774920, 0002.04952800
0002.26617800, 0000.91620970, 0002.07629500
0002.29304000, 0000.91453520, 0002.09706600
0002.31746100, 0000.91088120, 0002.11093100
0002.34310200, 0000.90971670, 0002.13155900
0002.37240500, 0000.90568510, 0002.14865200
0002.41025600, 0000.89557920, 0002.15857500
0002.45054900, 0000.88739600, 0002.17460800
0002.47496900, 0000.88081030, 0002.17997800
0002.50183200, 0000.87229100, 0002.18232500
0002.53113600, 0000.86169580, 0002.18106900
0002.54945100, 0000.85448170, 0002.17845900
0002.56776600, 0000.84457810, 0002.16867900
0002.58608100, 0000.83567730, 0002.16112900
0002.59829100, 0000.82848020, 0002.15263200
0002.60928000, 0000.82048510, 0002.14087500
0002.62515300, 0000.81211790, 0002.13193400
0002.63980500, 0000.80207590, 0002.11732400
0002.65445700, 0000.79298150, 0002.10493500
0002.66788800, 0000.78389600, 0002.09134700
0002.68498200, 0000.77193300, 0002.07262600
0002.69597100, 0000.76115970, 0002.05206400
0002.71062300, 0000.74915970, 0002.03068900
0002.72771700, 0000.73308960, 0001.99966100
0002.74725300, 0000.71610990, 0001.96733500
0002.75946300, 0000.70145350, 0001.93563500
0002.77411500, 0000.68576210, 0001.90238300
0002.78632500, 0000.67068030, 0001.86873300
0002.79609300, 0000.65919870, 0001.84318100
0002.80708200, 0000.64576240, 0001.81270800
0002.81807100, 0000.63249600, 0001.78241900
0002.82906000, 0000.61938490, 0001.75227700
0002.84249100, 0000.60364410, 0001.71585300
0002.85592200, 0000.58439260, 0001.66898000
0002.86813200, 0000.56571890, 0001.62255700
0002.88034200, 0000.54839120, 0001.57955400
0002.89133100, 0000.52990990, 0001.53214500
0002.90109900, 0000.51275750, 0001.48756000
0002.91330900, 0000.49329270, 0001.43711400
0002.92551900, 0000.47500370, 0001.38963200
0002.93772900, 0000.45511060, 0001.33699200
0002.95238100, 0000.43261190, 0001.27723500
0002.96459100, 0000.41213050, 0001.22179800
0002.97558000, 0000.39325370, 0001.17015800
0002.98779000, 0000.36948160, 0001.10393400
0003.00122100, 0000.34664340, 0001.04035400
0003.01221000, 0000.32437350, 0000.97708110
0003.02442000, 0000.30023040, 0000.90802290
0003.03663000, 0000.27575350, 0000.83736140
0003.04761900, 0000.25227790, 0000.76884700
0003.05860800, 0000.22694170, 0000.69412570
0003.07081800, 0000.20143000, 0000.61855480
0003.08424900, 0000.17441380, 0000.53793560
0003.09645900, 0000.14699610, 0000.45516730
0003.10989000, 0000.11954860, 0000.37178320
0003.12332100, 0000.09152528, 0000.28586280
0003.13553100, 0000.06362429, 0000.19949590
0003.14529900, 0000.04020342, 0000.12645180
0003.15384600, 0000.02166886, 0000.06834023
0003.15873000, 0000.00000000, 0000.00000000
