Voltage (V), Current (A), Power (W)
0000.00000000, 0000.99042360, 0000.00000000
0000.44566550, 0000.98906310, 0000.44079130
0000.67887670, 0000.98772870, 0000.67054600
0000.92307690, 0000.98693690, 0000.91101870
0001.14896200, 0000.98672300, 0001.13370700
0001.37118400, 0000.98637830, 0001.35250700
0001.45421200, 0000.98583500, 0001.43361300
0001.60683800, 0000.98140290, 0001.57695500
0001.78144100, 0000.97512900, 0001.73713500
0001.96581200, 0000.96998140, 0001.90680100
0002.14285700, 0000.96424600, 0002.06624200
0002.29548200, 0000.95784780, 0002.19872200
0002.36630000, 0000.95667770, 0002.26378700
0002.41147800, 0000.95518000, 0002.30339500
0002.43345500, 0000.95241200, 0002.31765200
0002.45787500, 0000.94892280, 0002.33233400
0002.47741200, 0000.94738090, 0002.34705200
0002.49694800, 0000.94203680, 0002.35221700
0002.51160000, 0000.93729390, 0002.35410700
0002.52625200, 0000.93109450, 0002.35217900
0002.53968300, 0000.92539200, 0002.35020200
0002.55433500, 0000.91752850, 0002.34367500
0002.56532400, 0000.91319360, 0002.34263700
0002.57997600, 0000.90734670, 0002.34093200
0002.59340700, 0000.90020910, 0002.33460800
0002.60805900, 0000.89154240, 0002.32519500
0002.62271100, 0000.88446370, 0002.31969200
0002.63736300, 0000.87472710, 0002.30697300
0002.64713100, 0000.86876220, 0002.29972700
0002.66056200, 0000.85906630, 0002.28559900
0002.67155100, 0000.85032100, 0002.27167600
0002.68254000, 0000.84165820, 0002.25778200
0002.69352900, 0000.83141030, 0002.23942700
0002.70696000, 0000.81541710, 0002.20730100
0002.71672800, 0000.80595170, 0002.18955100
0002.72893800, 0000.79237210, 0002.16233400
0002.74114800, 0000.77920000, 0002.13590200
0002.75335800, 0000.76766240, 0002.11364900
0002.76312600, 0000.75769680, 0002.09361200
0002.77167300, 0000.74882970, 0002.07551100
0002.77899900, 0000.74034360, 0002.05741400
0002.78754600, 0000.72787000, 0002.02897100
0002.79731400, 0000.71452060, 0001.99873800
0002.80708200, 0000.70125630, 0001.96848400
0002.81685000, 0000.68645180, 0001.93363200
0002.82661800, 0000.67201010, 0001.89951600
0002.83760700, 0000.65350240, 0001.85438300
0002.84737500, 0000.63657730, 0001.81257400
0002.85836400, 0000.61986570, 0001.77180200
0002.87057400, 0000.60095750, 0001.72509300
0002.88278400, 0000.58072880, 0001.67411600
0002.89255200, 0000.56710950, 0001.64039400
0002.90354100, 0000.54578070, 0001.58469700
0002.91208800, 0000.52969920, 0001.54253100
0002.92185600, 0000.50777790, 0001.48365400
0002.93162400, 0000.48816750, 0001.43112400
0002.94139200, 0000.46583330, 0001.37019800
0002.95116000, 0000.44674030, 0001.31840200
0002.96337000, 0000.41960480, 0001.24344400
0002.97313800, 0000.39950710, 0001.18779000
0002.98290600, 0000.37582320, 0001.12104500
0002.99389500, 0000.35226350, 0001.05464000
0003.00366300, 0000.32918070, 0000.98874800
0003.01465200, 0000.30237970, 0000.91156950
0003.02442000, 0000.28126360, 0000.85065930
0003.03540900, 0000.25665560, 0000.77905490
0003.04517700, 0000.23120340, 0000.70405540
0003.05616600, 0000.20517470, 0000.62704810
0003.06471300, 0000.18254190, 0000.55943850
0003.07570200, 0000.15000930, 0000.46138380
0003.08424900, 0000.12324150, 0000.38010740
0003.09401700, 0000.09513482, 0000.29434880
0003.10378500, 0000.06470758, 0000.20083840
0003.11233200, 0000.04003858, 0000.12461340
0003.11843700, 0000.00000000, 0000.00000000
