Voltage (V), Current (A), Power (W)
0000.00000000, 0000.78243010, 0000.00000000
0000.33821740, 0000.78116470, 0000.26420340
0000.51282050, 0000.77975630, 0000.39987500
0000.71550670, 0000.77861350, 0000.55710320
0000.89987790, 0000.77863410, 0000.70067560
0001.15628800, 0000.77577540, 0000.89701990
0001.42002500, 0000.77378550, 0001.09879400
0001.59584900, 0000.77242990, 0001.23268100
0001.74969500, 0000.77101120, 0001.34903400
0001.95360200, 0000.76978640, 0001.50385600
0002.08180700, 0000.76883760, 0001.60057200
0002.21001200, 0000.76658650, 0001.69416500
0002.34432200, 0000.76352200, 0001.78994200
0002.47252800, 0000.76073240, 0001.88093200
0002.52869400, 0000.75552620, 0001.91049400
0002.56044000, 0000.75490360, 0001.93288500
0002.58363900, 0000.75282130, 0001.94501800
0002.59829100, 0000.75136140, 0001.95225500
0002.61782700, 0000.74634240, 0001.95379500
0002.63125800, 0000.74201580, 0001.95243500
0002.64224700, 0000.73684730, 0001.94693200
0002.65323600, 0000.73256270, 0001.94366200
0002.66300400, 0000.72738340, 0001.93702500
0002.67033000, 0000.72312180, 0001.93097400
0002.67643500, 0000.71772560, 0001.92094600
0002.68376100, 0000.70925750, 0001.90347700
0002.69108700, 0000.70387860, 0001.89419900
0002.69719200, 0000.70062890, 0001.88973100
0002.70451800, 0000.69630800, 0001.88317700
0002.71062300, 0000.69177330, 0001.87513700
0002.71672800, 0000.68837990, 0001.87014100
0002.72283300, 0000.68451860, 0001.86383000
0002.73015900, 0000.67733850, 0001.84924200
0002.73504300, 0000.67259670, 0001.83958100
0002.74236900, 0000.66667090, 0001.82825700
0002.74847400, 0000.66066100, 0001.81580900
0002.75580000, 0000.65110620, 0001.79431800
0002.76312600, 0000.64164250, 0001.77293900
0002.77045200, 0000.63163690, 0001.74992000
0002.77655700, 0000.62331100, 0001.73065900
0002.78510400, 0000.61236320, 0001.70549500
0002.79243000, 0000.60208520, 0001.68128100
0002.79853500, 0000.59338920, 0001.66062000
0002.80586100, 0000.58537260, 0001.64247400
0002.81440800, 0000.57361580, 0001.61438900
0002.82295500, 0000.56118760, 0001.58420700
0002.83028100, 0000.55241750, 0001.56349600
0002.83882800, 0000.54137850, 0001.53688000
0002.84737500, 0000.52683860, 0001.50010700
0002.85470100, 0000.51522390, 0001.47081000
0002.86202700, 0000.50322660, 0001.44024800
0002.87179500, 0000.48705500, 0001.39872200
0002.88156300, 0000.47015020, 0001.35476800
0002.88888900, 0000.45869100, 0001.32510700
0002.89865700, 0000.44390450, 0001.28672700
0002.90720400, 0000.43049820, 0001.25154600
0002.91453000, 0000.41800110, 0001.21827700
0002.92307700, 0000.40520540, 0001.18444700
0002.93284500, 0000.38732310, 0001.13595900
0002.94017100, 0000.37193440, 0001.09355100
0002.94749700, 0000.35640850, 0001.05051300
0002.95604400, 0000.33910560, 0001.00241100
0002.96459100, 0000.32105330, 0000.95179170
0002.97313800, 0000.30395950, 0000.90371350
0002.98290600, 0000.28702810, 0000.85617790
0002.99389500, 0000.26477700, 0000.79271450
0003.00244200, 0000.24881510, 0000.74705300
0003.01098900, 0000.23005050, 0000.69267960
0003.02075700, 0000.20971750, 0000.63350550
0003.02930400, 0000.18907310, 0000.57275990
0003.03785100, 0000.17146680, 0000.52089050
0003.04884000, 0000.14705690, 0000.44835300
0003.05860800, 0000.12538280, 0000.38349680
0003.06837600, 0000.10376810, 0000.31839940
0003.07814400, 0000.08125897, 0000.25012680
0003.08913300, 0000.05619995, 0000.17360910
0003.09768000, 0000.03561906, 0000.11033650
0003.10500600, 0000.00000000, 0000.00000000
