Voltage (V), Current (A), Power (W)
0000.00000000, 0000.99289360, 0000.00000000
0000.27350430, 0000.99034860, 0000.27086460
0000.39194140, 0000.98963450, 0000.38787880
0000.54334560, 0000.98836060, 0000.53702130
0000.66788770, 0000.98604360, 0000.65856640
0000.78510380, 0000.98386270, 0000.77243440
0000.87545790, 0000.98398670, 0000.86143890
0000.99511610, 0000.98014960, 0000.97536270
0001.13186800, 0000.97880760, 0001.10788100
0001.24175800, 0000.97710530, 0001.21332900
0001.33943800, 0000.97488200, 0001.30579400
0001.45543300, 0000.97276220, 0001.41579100
0001.57142900, 0000.97247120, 0001.52816900
0001.63736300, 0000.96888100, 0001.58641000
0001.70451800, 0000.96711530, 0001.64846500
0001.79609300, 0000.96693580, 0001.73670600
0001.86202700, 0000.96439380, 0001.79572700
0001.89987800, 0000.96198430, 0001.82765300
0001.94627600, 0000.96334900, 0001.87494300
0001.99267400, 0000.96364430, 0001.92022900
0002.01343100, 0000.96289950, 0001.93873200
0002.07203900, 0000.96102590, 0001.99128300
0002.12820500, 0000.95802430, 0002.03887200
0002.18070800, 0000.95438760, 0002.08124100
0002.24664200, 0000.95179270, 0002.13833800
0002.31990200, 0000.94911520, 0002.20185400
0002.35531100, 0000.94754060, 0002.23175300
0002.39560400, 0000.94732640, 0002.26941900
0002.43345500, 0000.94440270, 0002.29816200
0002.45665500, 0000.94024650, 0002.30986100
0002.47252800, 0000.93533930, 0002.31265200
0002.48595800, 0000.93367790, 0002.32108400
0002.49939000, 0000.92889730, 0002.32167600
0002.52014700, 0000.92203190, 0002.32365600
0002.53846100, 0000.91349820, 0002.31888000
0002.55555600, 0000.90755390, 0002.31930400
0002.57264900, 0000.89995640, 0002.31527200
0002.58852300, 0000.89230930, 0002.30976300
0002.59829100, 0000.88561850, 0002.30109500
0002.61050100, 0000.88067510, 0002.29900300
0002.62393200, 0000.87445370, 0002.29450700
0002.63858400, 0000.86640370, 0002.28607900
0002.64835200, 0000.85825530, 0002.27296200
0002.65934100, 0000.85078590, 0002.26253000
0002.66910900, 0000.84251150, 0002.24875500
0002.68009800, 0000.83076560, 0002.22653300
0002.69475000, 0000.81801550, 0002.20434700
0002.70818100, 0000.80824490, 0002.18887300
0002.71794900, 0000.79915150, 0002.17205300
0002.73015900, 0000.78717110, 0002.14910200
0002.73992700, 0000.77908430, 0002.13463400
0002.74603200, 0000.77227180, 0002.12068300
0002.75335800, 0000.76447260, 0002.10486700
0002.76556800, 0000.74996220, 0002.07407100
0002.77411500, 0000.74091590, 0002.05538600
0002.78510400, 0000.72801230, 0002.02759000
0002.79609300, 0000.71596230, 0002.00189700
0002.80830300, 0000.70028110, 0001.96660200
0002.81807100, 0000.68713070, 0001.93638300
0002.82906000, 0000.67106650, 0001.89848700
0002.83882800, 0000.65633590, 0001.86322500
0002.84981700, 0000.63837540, 0001.81925300
0002.85958500, 0000.62433220, 0001.78533100
0002.86813200, 0000.61168680, 0001.75439900
0002.87790000, 0000.59745900, 0001.71942700
0002.88888900, 0000.58187050, 0001.68095900
0002.89865700, 0000.56607280, 0001.64085100
0002.90964600, 0000.54807640, 0001.59470800
0002.92063500, 0000.52913710, 0001.54541600
0002.93040300, 0000.51021580, 0001.49513800
0002.94017100, 0000.48987890, 0001.44032800
0002.95116000, 0000.47003530, 0001.38714900
0002.96092800, 0000.45134570, 0001.33640200
0002.97191700, 0000.43204240, 0001.28399400
0002.98290600, 0000.41095790, 0001.22584900
0002.99267400, 0000.39196350, 0001.17301900
0003.00244200, 0000.37231300, 0001.11784800
0003.01465200, 0000.34834050, 0001.05012500
0003.02442000, 0000.32387220, 0000.97952550
0003.03540900, 0000.29975940, 0000.90989240
0003.04761900, 0000.27318710, 0000.83257020
0003.05860800, 0000.24698420, 0000.75542790
0003.06837600, 0000.22222140, 0000.68185870
0003.07936500, 0000.19770000, 0000.60879060
0003.09035400, 0000.17180240, 0000.53093020
0003.10012200, 0000.14616560, 0000.45313130
0003.11233200, 0000.11899360, 0000.37034770
0003.12332100, 0000.09108618, 0000.28449140
0003.13431000, 0000.06329188, 0000.19837640
0003.14407800, 0000.03960444, 0000.12451950
0003.15262500, 0000.02120929, 0000.06686496
0003.15750900, 0000.00000000, 0000.00000000
