Voltage (V), Current (A), Power (W)
0000.00000000, 0000.97095220, 0000.00000000
0000.14041520, 0000.97138080, 0000.13639660
0000.16117220, 0000.97109030, 0000.15651270
0000.18559220, 0000.96964770, 0000.17995900
0000.22832720, 0000.96784820, 0000.22098610
0000.26739930, 0000.96768890, 0000.25875930
0000.30402930, 0000.96533140, 0000.29348900
0000.38095240, 0000.96200370, 0000.36647760
0000.45787540, 0000.96079380, 0000.43992390
0000.52991460, 0000.96034920, 0000.50890300
0000.63980470, 0000.95854680, 0000.61328270
0000.75091580, 0000.95629420, 0000.71809640
0000.83882790, 0000.95577300, 0000.80172910
0000.92918190, 0000.95392400, 0000.88636890
0001.08302800, 0000.94932880, 0001.02815000
0001.23687400, 0000.94378710, 0001.16734600
0001.40781400, 0000.94166200, 0001.32568500
0001.57387000, 0000.93757900, 0001.47562800
0001.75457900, 0000.93340030, 0001.63772400
0001.85836400, 0000.92946540, 0001.72728500
0001.96092800, 0000.92686240, 0001.81751000
0002.03540900, 0000.92183820, 0001.87631800
0002.13797300, 0000.91515120, 0001.95656900
0002.22466400, 0000.90913000, 0002.02250900
0002.31746000, 0000.90137300, 0002.08889600
0002.37484700, 0000.89367840, 0002.12235000
0002.43467700, 0000.88518470, 0002.15513800
0002.45421300, 0000.88057390, 0002.16111600
0002.47374800, 0000.87483550, 0002.16412300
0002.49084200, 0000.86780570, 0002.16156700
0002.50793600, 0000.86249770, 0002.16309000
0002.52503100, 0000.85847070, 0002.16766500
0002.54945100, 0000.85304170, 0002.17478800
0002.56898700, 0000.84693610, 0002.17576700
0002.58608100, 0000.84287390, 0002.17974000
0002.60683800, 0000.83542060, 0002.17780600
0002.62515300, 0000.82723420, 0002.17161600
0002.63858400, 0000.81695780, 0002.15561200
0002.65567800, 0000.80621420, 0002.14104500
0002.67155100, 0000.79440640, 0002.12229700
0002.68376100, 0000.78682870, 0002.11166000
0002.70207600, 0000.77204840, 0002.08613300
0002.71794900, 0000.75878950, 0002.06235100
0002.73260100, 0000.74675020, 0002.04057000
0002.74847400, 0000.73230060, 0002.01270900
0002.76434700, 0000.71500290, 0001.97651600
0002.77655700, 0000.70119170, 0001.94689900
0002.78876700, 0000.68880140, 0001.92090600
0002.80097700, 0000.67293910, 0001.88488700
0002.81196600, 0000.65988560, 0001.85557600
0002.82173400, 0000.64737970, 0001.82673300
0002.83272300, 0000.63432190, 0001.79685800
0002.84493300, 0000.61971430, 0001.76304600
0002.85592200, 0000.60614030, 0001.73108900
0002.86569000, 0000.59257380, 0001.69813300
0002.87912100, 0000.57370130, 0001.65175600
0002.89133100, 0000.55625150, 0001.60830700
0002.90232000, 0000.53728560, 0001.55937500
0002.91330900, 0000.51964690, 0001.51389200
0002.92551900, 0000.49972580, 0001.46195700
0002.93528700, 0000.48244320, 0001.41610900
0002.94505500, 0000.46333030, 0001.36453300
0002.95604400, 0000.44438090, 0001.31361000
0002.96703300, 0000.42304180, 0001.25517900
0002.97680100, 0000.40291790, 0001.19940700
0002.98779000, 0000.38224920, 0001.14208000
0002.99755800, 0000.36226680, 0001.08591600
0003.00854700, 0000.34057390, 0001.02463300
0003.01953600, 0000.31899500, 0000.96321700
0003.03052500, 0000.29590820, 0000.89675730
0003.04029300, 0000.27266970, 0000.82899590
0003.05250300, 0000.24786750, 0000.75661640
0003.06349200, 0000.22257630, 0000.68186090
0003.07570200, 0000.19595810, 0000.60270880
0003.08669100, 0000.17006080, 0000.52492540
0003.09890100, 0000.14257630, 0000.44183000
0003.10989000, 0000.11597550, 0000.36067110
0003.11965800, 0000.08908366, 0000.27791060
0003.12942600, 0000.06081154, 0000.19030520
0003.13797300, 0000.03733838, 0000.11716680
0003.14407800, 0000.00000000, 0000.00000000
