Voltage (V), Current (A), Power (W)
0000.00000000, 0000.98506910, 0000.00000000
0000.91819300, 0000.98595240, 0000.90529450
0001.03052500, 0000.98634820, 0001.01645600
0001.14407800, 0000.98576880, 0001.12779700
0001.23687400, 0000.98609380, 0001.21967400
0001.29181900, 0000.98276030, 0001.26954900
0001.32844900, 0000.98207050, 0001.30463100
0001.35531200, 0000.98354900, 0001.33301500
0001.39804600, 0000.98267140, 0001.37382000
0001.44688700, 0000.98043140, 0001.41857300
0001.49694800, 0000.97959890, 0001.46640800
0001.54578800, 0000.97826150, 0001.51218400
0001.59829100, 0000.97559180, 0001.55927900
0001.63980500, 0000.97433390, 0001.59771700
0001.68620300, 0000.97288250, 0001.64047700
0001.73626400, 0000.97329610, 0001.68989900
0001.78754600, 0000.97288280, 0001.73907200
0001.82906000, 0000.97178490, 0001.77745300
0001.86569000, 0000.97093890, 0001.81147100
0001.89133100, 0000.97046440, 0001.83546900
0001.91330900, 0000.97002520, 0001.85595800
0001.99633700, 0000.96832400, 0001.93310100
0002.08424900, 0000.96462570, 0002.01052000
0002.17338200, 0000.96333220, 0002.09368900
0002.25274700, 0000.95970010, 0002.16196200
0002.33577500, 0000.95437740, 0002.22921100
0002.35409000, 0000.95114900, 0002.23909000
0002.37851000, 0000.94873890, 0002.25658500
0002.40537200, 0000.94357510, 0002.26965000
0002.43345500, 0000.93953530, 0002.28631700
0002.45665500, 0000.93684520, 0002.30150500
0002.48473800, 0000.93018040, 0002.31125400
0002.50061100, 0000.92390220, 0002.31032000
0002.51160000, 0000.91931900, 0002.30896100
0002.52258800, 0000.91403930, 0002.30574500
0002.53235700, 0000.90851190, 0002.30067600
0002.53846200, 0000.90353290, 0002.29358400
0002.54700900, 0000.90048040, 0002.29353100
0002.55677700, 0000.89550050, 0002.28959500
0002.56898700, 0000.88992900, 0002.28621600
0002.58241800, 0000.88317630, 0002.28073000
0002.59340700, 0000.87933890, 0002.28048300
0002.60439600, 0000.87196990, 0002.27095500
0002.61538500, 0000.86529490, 0002.26307900
0002.62149000, 0000.86092820, 0002.25691500
0002.63247900, 0000.85390780, 0002.24789400
0002.64468900, 0000.84305260, 0002.22961200
0002.65567800, 0000.83308250, 0002.21239900
0002.66910900, 0000.82244900, 0002.19520600
0002.68376100, 0000.80890240, 0002.17090100
0002.69352900, 0000.79832290, 0002.15030600
0002.70207600, 0000.78980630, 0002.13411700
0002.71428600, 0000.77808410, 0002.11194300
0002.72283300, 0000.76828750, 0002.09191800
0002.73138000, 0000.75983480, 0002.07539800
0002.74114800, 0000.75123980, 0002.05925900
0002.75335800, 0000.73697320, 0002.02915100
0002.76190500, 0000.72724630, 0002.00858500
0002.77289400, 0000.71612690, 0001.98574400
0002.78388300, 0000.70097070, 0001.95142000
0002.79487200, 0000.68391540, 0001.91145600
0002.80586100, 0000.66849760, 0001.87571100
0002.81685000, 0000.65300670, 0001.83942200
0002.82661800, 0000.63585640, 0001.79732300
0002.83760700, 0000.61976320, 0001.75864400
0002.84859600, 0000.60329100, 0001.71853200
0002.85714300, 0000.58957200, 0001.68449200
0002.86813200, 0000.57181630, 0001.64004500
0002.87912100, 0000.55323900, 0001.59284200
0002.89011000, 0000.53458490, 0001.54500900
0002.90109900, 0000.51564180, 0001.49592800
0002.91330900, 0000.49487970, 0001.44173800
0002.92429800, 0000.47362910, 0001.38503300
0002.93650800, 0000.45294910, 0001.33008900
0002.94871800, 0000.43091530, 0001.27064800
0002.96092800, 0000.40615030, 0001.20258200
0002.97069600, 0000.38777720, 0001.15196800
0002.98168500, 0000.36639660, 0001.09247900
0002.99145300, 0000.34520430, 0001.03266300
0003.00122100, 0000.32386920, 0000.97200300
0003.01098900, 0000.30483060, 0000.91784150
0003.02319900, 0000.27818550, 0000.84101020
0003.03418800, 0000.25375580, 0000.76994280
0003.04639800, 0000.22727460, 0000.69236900
0003.05860800, 0000.20068010, 0000.61380200
0003.07081800, 0000.17313770, 0000.53167440
0003.08180700, 0000.14575910, 0000.44920150
0003.09401700, 0000.11298810, 0000.34958710
0003.10378500, 0000.09112343, 0000.28282760
0003.11477400, 0000.06215157, 0000.19358810
0003.12332100, 0000.03855367, 0000.12041550
0003.13064700, 0000.00000000, 0000.00000000
