Voltage (V), Current (A), Power (W)
0000.00000000, 0000.98519890, 0000.00000000
0000.26007330, 0000.98399470, 0000.25591070
0000.38217340, 0000.98166870, 0000.37516760
0000.51770460, 0000.97993960, 0000.50731920
0000.66422470, 0000.97948000, 0000.65059480
0000.76800980, 0000.97978200, 0000.75248220
0000.86324790, 0000.97929650, 0000.84537560
0001.01465200, 0000.97894010, 0000.99328360
0001.16483500, 0000.97774350, 0001.13891000
0001.30525000, 0000.97625230, 0001.27425400
0001.41636200, 0000.97460230, 0001.38038900
0001.53479900, 0000.97285750, 0001.49314000
0001.59218600, 0000.97154280, 0001.54687700
0001.64713100, 0000.97019680, 0001.59804100
0001.74969500, 0000.96608720, 0001.69035800
0001.89987800, 0000.95986480, 0001.82362600
0002.03296700, 0000.95342990, 0001.93829200
0002.16483500, 0000.94927370, 0002.05502100
0002.28815600, 0000.94495180, 0002.16219700
0002.37606800, 0000.93998830, 0002.23347600
0002.41514000, 0000.93679980, 0002.26250300
0002.44810700, 0000.93259490, 0002.28309300
0002.48107500, 0000.92462280, 0002.29405800
0002.51282100, 0000.91656800, 0002.30317100
0002.53357800, 0000.90587600, 0002.29510700
0002.55311400, 0000.89629970, 0002.28835500
0002.57265000, 0000.88837230, 0002.28547100
0002.58730200, 0000.88013830, 0002.27718300
0002.60195400, 0000.87237490, 0002.26987900
0002.61538500, 0000.86775680, 0002.26951800
0002.62759500, 0000.86122630, 0002.26295400
0002.64224700, 0000.85160820, 0002.25015900
0002.65567800, 0000.84081980, 0002.23294700
0002.66910900, 0000.83095250, 0002.21790300
0002.67887700, 0000.82081910, 0002.19887300
0002.69108700, 0000.81069820, 0002.18165900
0002.69963400, 0000.80251610, 0002.16650000
0002.70818100, 0000.79450550, 0002.15166500
0002.71917000, 0000.78614150, 0002.13765200
0002.72893800, 0000.77883100, 0002.12538100
0002.73748500, 0000.76963020, 0002.10685100
0002.74725300, 0000.75930430, 0002.08600100
0002.75946300, 0000.74629990, 0002.05938700
0002.77045200, 0000.73160060, 0002.02686400
0002.78266200, 0000.71794740, 0001.99780500
0002.79365100, 0000.70461290, 0001.96844200
0002.80464000, 0000.69051730, 0001.93665200
0002.81318700, 0000.67924150, 0001.91083300
0002.82295500, 0000.66545900, 0001.87856100
0002.83272300, 0000.64936360, 0001.83946700
0002.84493300, 0000.62976900, 0001.79165100
0002.85592200, 0000.61417220, 0001.75402800
0002.86935300, 0000.59457490, 0001.70604500
0002.88156300, 0000.57758760, 0001.66435500
0002.89377300, 0000.55944880, 0001.61891800
0002.90354100, 0000.54478600, 0001.58180900
0002.91575100, 0000.52429010, 0001.52869900
0002.92551900, 0000.50605540, 0001.48047500
0002.93650800, 0000.48171740, 0001.41456700
0002.94627600, 0000.46503800, 0001.37013000
0002.95726500, 0000.44286950, 0001.30968300
0002.96703300, 0000.42112060, 0001.24947900
0002.97802200, 0000.39964410, 0001.19014900
0002.98901100, 0000.38169800, 0001.14090000
0003.00122100, 0000.35483070, 0001.06492500
0003.01221000, 0000.33229520, 0001.00094300
0003.02442000, 0000.30806610, 0000.93172130
0003.03663000, 0000.28403930, 0000.86252240
0003.04761900, 0000.25802440, 0000.78636000
0003.05860800, 0000.23241430, 0000.71086430
0003.07081800, 0000.20499170, 0000.62949220
0003.08302800, 0000.17848420, 0000.55027170
0003.09401700, 0000.15071410, 0000.46631210
0003.10622700, 0000.12262130, 0000.38088970
0003.11843700, 0000.09383784, 0000.29262740
0003.13064700, 0000.06416390, 0000.20087450
0003.14041500, 0000.03945088, 0000.12389210
0003.14774100, 0000.00000000, 0000.00000000
