Voltage (V), Current (A), Power (W)
0000.00000000, 0000.98716180, 0000.00000000
0000.17948720, 0000.98500620, 0000.17679600
0000.27350430, 0000.98259810, 0000.26874480
0000.38827840, 0000.97932020, 0000.38024890
0000.51648350, 0000.97736230, 0000.50479150
0000.61416360, 0000.97776080, 0000.60050510
0000.72771670, 0000.97489860, 0000.70945010
0000.84859580, 0000.97418710, 0000.82669100
0000.97924300, 0000.97199610, 0000.95182040
0001.10622700, 0000.96946590, 0001.07245000
0001.23565300, 0000.96373690, 0001.19084500
0001.31990200, 0000.96197000, 0001.26970700
0001.43711900, 0000.95732580, 0001.37579100
0001.52503100, 0000.95522270, 0001.45674400
0001.60683800, 0000.95156560, 0001.52901100
0001.68254000, 0000.95097050, 0001.60004600
0001.78266200, 0000.94704790, 0001.68826600
0001.85470100, 0000.94574860, 0001.75408100
0001.93040300, 0000.94398770, 0001.82227700
0002.00854700, 0000.94055780, 0001.88915500
0002.09035400, 0000.93651200, 0001.95764200
0002.16483500, 0000.93089070, 0002.01522500
0002.22588500, 0000.92373720, 0002.05613300
0002.28327200, 0000.91661250, 0002.09287600
0002.33943800, 0000.91030760, 0002.12960900
0002.37973100, 0000.90261110, 0002.14797200
0002.39682500, 0000.89922430, 0002.15528300
0002.43467600, 0000.88928180, 0002.16511300
0002.47130700, 0000.87916690, 0002.17269100
0002.49572600, 0000.87053840, 0002.17262600
0002.52503100, 0000.86061970, 0002.17309100
0002.55433500, 0000.85028400, 0002.17191000
0002.56410300, 0000.84589670, 0002.16896600
0002.57631300, 0000.83911650, 0002.16182600
0002.59584900, 0000.82875600, 0002.15132500
0002.61050100, 0000.82048290, 0002.14187100
0002.62637400, 0000.81060220, 0002.12894400
0002.64346800, 0000.79938760, 0002.11315500
0002.65934100, 0000.78855410, 0002.09703400
0002.67033000, 0000.77978980, 0002.08229600
0002.68376100, 0000.76722260, 0002.05904200
0002.69841300, 0000.75377170, 0002.03398700
0002.71306500, 0000.74127100, 0002.01111600
0002.72649600, 0000.72859680, 0001.98651600
0002.74359000, 0000.71172720, 0001.95268800
0002.75702100, 0000.70072540, 0001.93191400
0002.76923100, 0000.68813240, 0001.90559800
0002.78144100, 0000.67230290, 0001.86997100
0002.79609300, 0000.65665040, 0001.83605600
0002.80708200, 0000.64296010, 0001.80484200
0002.82051300, 0000.62615660, 0001.76608300
0002.83272300, 0000.60871260, 0001.72431400
0002.84493300, 0000.59311900, 0001.68738400
0002.85592200, 0000.57586270, 0001.64461900
0002.86935300, 0000.55793490, 0001.60091200
0002.88156300, 0000.53895190, 0001.55302400
0002.89255200, 0000.52236440, 0001.51096600
0002.90476200, 0000.50274720, 0001.46036100
0002.91697200, 0000.48330050, 0001.40977400
0002.92918200, 0000.46263620, 0001.35514600
0002.94139200, 0000.44041290, 0001.29542700
0002.95482300, 0000.41828880, 0001.23596900
0002.96703300, 0000.39543210, 0001.17326000
0002.98046400, 0000.37409590, 0001.11497900
0002.99145300, 0000.35420830, 0001.05959700
0003.00244200, 0000.33272170, 0000.99897780
0003.01465200, 0000.30893100, 0000.93131940
0003.02808300, 0000.28531940, 0000.86397090
0003.04029300, 0000.25779800, 0000.78378160
0003.05250300, 0000.23054080, 0000.70372660
0003.06593400, 0000.20318610, 0000.62295530
0003.07814400, 0000.17574460, 0000.54096710
0003.09035400, 0000.14800390, 0000.45738440
0003.10378500, 0000.12105390, 0000.37572530
0003.11599500, 0000.09329119, 0000.29069490
0003.12820600, 0000.06545280, 0000.20474980
0003.13919400, 0000.04087088, 0000.12830160
0003.14652000, 0000.02243670, 0000.07059752
0003.15140400, 0000.00000000, 0000.00000000
