Voltage (V), Current (A), Power (W)
0000.00000000, 0000.97987000, 0000.00000000
0000.14163620, 0000.97919560, 0000.13868950
0000.25641030, 0000.97851240, 0000.25090060
0000.37484740, 0000.97651150, 0000.36604280
0000.50427350, 0000.97424620, 0000.49128660
0000.62026860, 0000.97128490, 0000.60245750
0000.66544570, 0000.97050510, 0000.64581850
0000.70329680, 0000.96831420, 0000.68101220
0000.76434680, 0000.96958570, 0000.74109970
0000.84371190, 0000.96897760, 0000.81753790
0000.93650800, 0000.96743330, 0000.90600910
0001.03785100, 0000.96582170, 0001.00237900
0001.14285700, 0000.96524720, 0001.10314000
0001.22954800, 0000.96291240, 0001.18394700
0001.29548200, 0000.95961120, 0001.24315900
0001.34310200, 0000.95827320, 0001.28705800
0001.39438300, 0000.95667430, 0001.33397100
0001.45299100, 0000.95544260, 0001.38825000
0001.50671600, 0000.95519040, 0001.43920000
0001.56776500, 0000.95435560, 0001.49620600
0001.63125800, 0000.95126310, 0001.55175500
0001.68498200, 0000.94913660, 0001.59927800
0001.75457900, 0000.94690380, 0001.66141700
0001.82295500, 0000.94189340, 0001.71702900
0001.87667900, 0000.94050280, 0001.76502200
0001.94261300, 0000.93820140, 0001.82256200
0002.00976800, 0000.93650720, 0001.88216200
0002.08424900, 0000.92898310, 0001.93623200
0002.17094000, 0000.92329090, 0002.00440900
0002.26007300, 0000.91376150, 0002.06516800
0002.32844900, 0000.90761220, 0002.11332900
0002.39804600, 0000.89779010, 0002.15294200
0002.43345500, 0000.89390370, 0002.17527500
0002.45787500, 0000.88815170, 0002.18296600
0002.47863200, 0000.88450280, 0002.19235700
0002.50549500, 0000.87653920, 0002.19616400
0002.52380900, 0000.86984590, 0002.19532500
0002.54334600, 0000.86096540, 0002.18973300
0002.55921900, 0000.85409560, 0002.18581800
0002.57264900, 0000.84703450, 0002.17912300
0002.58486000, 0000.84016320, 0002.17170400
0002.59584900, 0000.83363560, 0002.16399200
0002.60928000, 0000.82624660, 0002.15590900
0002.62271100, 0000.81825340, 0002.14604200
0002.63980500, 0000.80763020, 0002.13198600
0002.65323600, 0000.80008190, 0002.12280600
0002.67033000, 0000.78811200, 0002.10451900
0002.68376100, 0000.77653680, 0002.08403900
0002.69963400, 0000.76246980, 0002.05838900
0002.71672800, 0000.74665610, 0002.02846100
0002.73138000, 0000.73126700, 0001.99736800
0002.74236900, 0000.71933750, 0001.97268900
0002.75091600, 0000.71143070, 0001.95708600
0002.76312600, 0000.69909190, 0001.93167900
0002.77289400, 0000.68866440, 0001.90959300
0002.78632500, 0000.67308940, 0001.87544600
0002.79975600, 0000.65863480, 0001.84401700
0002.81562900, 0000.63903450, 0001.79928400
0002.82783900, 0000.62306140, 0001.76191700
0002.84127000, 0000.60456960, 0001.71774500
0002.85103800, 0000.59272930, 0001.68989400
0002.86324800, 0000.57393810, 0001.64332700
0002.87545800, 0000.55709880, 0001.60191400
0002.88766800, 0000.53871980, 0001.55564400
0002.89743600, 0000.52404430, 0001.51838500
0002.90964600, 0000.50284460, 0001.46310000
0002.92185600, 0000.48349790, 0001.41271100
0002.93528700, 0000.46107840, 0001.35339700
0002.94871800, 0000.43765200, 0001.29051200
0002.96092800, 0000.41801510, 0001.23771300
0002.97435900, 0000.39475960, 0001.17415700
0002.98656900, 0000.37217500, 0001.11152600
0002.99877900, 0000.34984980, 0001.04912200
0003.00976800, 0000.32763330, 0000.98610020
0003.02442000, 0000.29940560, 0000.90552850
0003.03663000, 0000.27463530, 0000.83396570
0003.04884000, 0000.25103550, 0000.76536700
0003.06105000, 0000.22538760, 0000.68992270
0003.07326000, 0000.20094170, 0000.61754620
0003.08424900, 0000.17519640, 0000.54034930
0003.09768000, 0000.14809660, 0000.45875570
0003.10989000, 0000.11987290, 0000.37279140
0003.12210000, 0000.09261198, 0000.28914390
0003.13431000, 0000.06467082, 0000.20269840
0003.14529900, 0000.04012889, 0000.12621740
0003.15262500, 0000.02184079, 0000.06885584
0003.15873000, 0000.00000000, 0000.00000000
