Voltage (V), Current (A), Power (W)
0000.00000000, 0000.78724290, 0000.00000000
0000.13431010, 0000.78877710, 0000.10594080
0000.17216120, 0000.78822640, 0000.13570200
0000.24297920, 0000.78770880, 0000.19139690
0000.30525040, 0000.78597430, 0000.23991890
0000.42735040, 0000.78584340, 0000.33583050
0000.59340660, 0000.78395720, 0000.46520540
0000.77289370, 0000.78429260, 0000.60617490
0000.92185590, 0000.78448850, 0000.72318540
0001.12820500, 0000.78369420, 0000.88416780
0001.35653200, 0000.78157200, 0001.06022800
0001.53357800, 0000.77912770, 0001.19485300
0001.73748500, 0000.77595090, 0001.34820300
0001.96092800, 0000.77320840, 0001.51620600
0002.14041500, 0000.77097210, 0001.65020000
0002.24175800, 0000.77106690, 0001.72854600
0002.37484700, 0000.76692700, 0001.82133500
0002.46886400, 0000.76350150, 0001.88498200
0002.54456700, 0000.75882680, 0001.93088500
0002.60683800, 0000.75323740, 0001.96356800
0002.64957300, 0000.74523960, 0001.97456600
0002.66056200, 0000.74219790, 0001.97466400
0002.66910900, 0000.74043470, 0001.97630100
0002.67643500, 0000.73598210, 0001.96980800
0002.68376100, 0000.73131760, 0001.96268200
0002.68986600, 0000.72648880, 0001.95415700
0002.69719200, 0000.72146820, 0001.94593800
0002.70329700, 0000.71768820, 0001.94012400
0002.70696000, 0000.71439370, 0001.93383500
0002.71062300, 0000.71264510, 0001.93171200
0002.71550700, 0000.71057770, 0001.92957900
0002.72283300, 0000.70394440, 0001.91672300
0002.73138000, 0000.69286750, 0001.89248400
0002.73992700, 0000.68853280, 0001.88653000
0002.74725300, 0000.68179310, 0001.87305800
0002.75335800, 0000.67551600, 0001.85993800
0002.75946300, 0000.66933330, 0001.84700000
0002.76434700, 0000.66471990, 0001.83751600
0002.77045200, 0000.65422710, 0001.81250500
0002.77899900, 0000.64280190, 0001.78634600
0002.78754600, 0000.63267690, 0001.76361600
0002.79487200, 0000.62293960, 0001.74103600
0002.80219800, 0000.61387620, 0001.72020300
0002.81318700, 0000.59934460, 0001.68606800
0002.82173400, 0000.58921950, 0001.66262100
0002.83150200, 0000.57985870, 0001.64187100
0002.84004900, 0000.56626250, 0001.60821300
0002.84981700, 0000.55024790, 0001.56810600
0002.85470100, 0000.54301570, 0001.55014800
0002.86202700, 0000.53067270, 0001.51879900
0002.86935300, 0000.51359810, 0001.47369400
0002.87545800, 0000.50666160, 0001.45688400
0002.88278400, 0000.49737160, 0001.43381500
0002.89255200, 0000.48109470, 0001.39159100
0002.89987800, 0000.46995160, 0001.36280300
0002.90720400, 0000.45790540, 0001.33122400
0002.91575100, 0000.44086160, 0001.28544300
0002.92429800, 0000.42356510, 0001.23863100
0002.93162400, 0000.41066370, 0001.20391200
0002.94017100, 0000.39406920, 0001.15863100
0002.94871800, 0000.37760550, 0001.11345200
0002.95726500, 0000.36116320, 0001.06805500
0002.96581200, 0000.34485330, 0001.02277000
0002.97435900, 0000.32712980, 0000.97300140
0002.98290600, 0000.30921260, 0000.92235210
0002.99145300, 0000.29210060, 0000.87380520
0003.00000000, 0000.27416800, 0000.82250390
0003.00854700, 0000.25584580, 0000.76972430
0003.01953600, 0000.23159480, 0000.69930880
0003.02930400, 0000.21418990, 0000.64884620
0003.03907200, 0000.19290260, 0000.58624480
0003.05006100, 0000.17046030, 0000.51991430
0003.05982900, 0000.14828920, 0000.45373970
0003.06837600, 0000.13071050, 0000.40106910
0003.07814400, 0000.10522600, 0000.32390070
0003.08669100, 0000.08288937, 0000.25585390
0003.09523800, 0000.05745491, 0000.17783660
0003.10256400, 0000.03659381, 0000.11353460
0003.10744800, 0000.00000000, 0000.00000000
