Voltage (V), Current (A), Power (W)
0000.00000000, 0000.99466560, 0000.00000000
0000.36385840, 0000.99206920, 0000.36097270
0000.57142860, 0000.98959700, 0000.56548410
0000.78510380, 0000.98611180, 0000.77420010
0001.04273500, 0000.98473850, 0001.02682100
0001.13797300, 0000.98398890, 0001.11975300
0001.24786300, 0000.98351510, 0001.22729300
0001.34310100, 0000.98300920, 0001.32028100
0001.43467700, 0000.98235040, 0001.40935500
0001.48351600, 0000.98144500, 0001.45599000
0001.53968300, 0000.97878300, 0001.50701500
0001.62149000, 0000.97792500, 0001.58569500
0001.68376100, 0000.97458140, 0001.64096200
0001.77533600, 0000.97257390, 0001.72664500
0001.86446900, 0000.97103940, 0001.81047300
0001.95482300, 0000.97018580, 0001.89654100
0002.01709400, 0000.96746910, 0001.95147600
0002.11233200, 0000.96611710, 0002.04076000
0002.18070800, 0000.96431600, 0002.10289200
0002.24908400, 0000.96028110, 0002.15975300
0002.32967000, 0000.95440830, 0002.22345700
0002.39926700, 0000.94948270, 0002.27806300
0002.43589700, 0000.94484840, 0002.30155400
0002.47496900, 0000.93837670, 0002.32245400
0002.51282000, 0000.93140700, 0002.34045900
0002.52381000, 0000.92934850, 0002.34549900
0002.53235700, 0000.92510830, 0002.34270400
0002.55067200, 0000.91948960, 0002.34531600
0002.56288200, 0000.91222000, 0002.33791200
0002.57875500, 0000.90751480, 0002.34025800
0002.59584900, 0000.90140000, 0002.33989800
0002.61782700, 0000.89149250, 0002.33377300
0002.63125800, 0000.88241480, 0002.32186100
0002.64835200, 0000.87264190, 0002.31106300
0002.66300400, 0000.86164270, 0002.29455800
0002.67765600, 0000.84859740, 0002.27225200
0002.69108700, 0000.83748150, 0002.25373600
0002.70329700, 0000.82713940, 0002.23600300
0002.71306500, 0000.82047350, 0002.22599800
0002.72405400, 0000.81043450, 0002.20766700
0002.73626400, 0000.79980990, 0002.18849100
0002.74603200, 0000.79145350, 0002.17335700
0002.75580000, 0000.78190730, 0002.15478000
0002.76678900, 0000.76749920, 0002.12350800
0002.77655700, 0000.75614440, 0002.09947800
0002.78510400, 0000.74425950, 0002.07284000
0002.79609300, 0000.73126070, 0002.04467300
0002.80586100, 0000.71824050, 0002.01528300
0002.81318700, 0000.70867560, 0001.99363700
0002.82295500, 0000.69599140, 0001.96475200
0002.83272300, 0000.68262710, 0001.93369400
0002.84004900, 0000.67178060, 0001.90789000
0002.84859600, 0000.66087340, 0001.88256100
0002.85958500, 0000.64625910, 0001.84803300
0002.86813200, 0000.63137900, 0001.81087800
0002.87667900, 0000.61705910, 0001.77508100
0002.88888900, 0000.59853740, 0001.72910800
0002.90109900, 0000.57706650, 0001.67412700
0002.91086700, 0000.55805320, 0001.62441900
0002.92185600, 0000.53990200, 0001.57751600
0002.93284500, 0000.52071460, 0001.52717500
0002.94139200, 0000.49977140, 0001.47002400
0002.94993900, 0000.48233520, 0001.42286000
0002.96092800, 0000.46426050, 0001.37464200
0002.97069600, 0000.44294110, 0001.31584400
0002.98290600, 0000.41996590, 0001.25271900
0002.99389500, 0000.39863450, 0001.19347000
0003.00610500, 0000.37399130, 0001.12425700
0003.01587300, 0000.35014390, 0001.05599000
0003.02686200, 0000.32533060, 0000.98473080
0003.03663000, 0000.30133430, 0000.91504070
0003.04639800, 0000.27705050, 0000.84400620
0003.05616600, 0000.25228950, 0000.77103850
0003.06715500, 0000.22496480, 0000.69000210
0003.07692300, 0000.20056480, 0000.61712260
0003.08669100, 0000.17474140, 0000.53937280
0003.09768000, 0000.14815170, 0000.45892670
0003.10866900, 0000.12085720, 0000.37570500
0003.11965800, 0000.09380852, 0000.29265050
0003.13064700, 0000.06330198, 0000.19817620
0003.13919400, 0000.03888901, 0000.12208020
0003.14529900, 0000.00000000, 0000.00000000
