Voltage (V), Current (A), Power (W)
0000.00000000, 0000.97895470, 0000.00000000
0000.06959707, 0000.97874050, 0000.06811748
0000.09523810, 0000.97765010, 0000.09310954
0000.12820510, 0000.97706870, 0000.12526520
0000.15995120, 0000.97619880, 0000.15614410
0000.19902320, 0000.97553540, 0000.19415420
0000.23321120, 0000.97637020, 0000.22770050
0000.26495730, 0000.97662530, 0000.25876400
0000.30525030, 0000.97635270, 0000.29803200
0000.35653240, 0000.97585890, 0000.34792530
0000.39682540, 0000.97555770, 0000.38712610
0000.49450550, 0000.97083300, 0000.48008220
0000.59829060, 0000.96823960, 0000.57928870
0000.69230770, 0000.96521130, 0000.66822320
0000.77533570, 0000.96452930, 0000.74783400
0000.86324790, 0000.96295260, 0000.83126680
0000.91941390, 0000.96160280, 0000.88411100
0000.97191700, 0000.96037790, 0000.93340760
0001.07570200, 0000.95837960, 0001.03093100
0001.24053700, 0000.95357320, 0001.18294300
0001.40415100, 0000.94952920, 0001.33328300
0001.54456700, 0000.94718130, 0001.46298500
0001.69719200, 0000.94211750, 0001.59895400
0001.79487200, 0000.93830890, 0001.68414400
0001.84004900, 0000.93623960, 0001.72272700
0001.92063500, 0000.93133510, 0001.78875500
0002.00976800, 0000.92733720, 0001.86373300
0002.10256400, 0000.92250600, 0001.93962800
0002.19780200, 0000.91647720, 0002.01423600
0002.28205100, 0000.90976380, 0002.07612800
0002.32722800, 0000.90532520, 0002.10689800
0002.36263800, 0000.89926590, 0002.12463900
0002.38339500, 0000.89448560, 0002.13191200
0002.40537300, 0000.89058960, 0002.14220000
0002.43101400, 0000.88579260, 0002.15337400
0002.45665500, 0000.88178600, 0002.16624400
0002.48718000, 0000.87390310, 0002.17355400
0002.51037900, 0000.86888830, 0002.18123800
0002.52991500, 0000.86176010, 0002.18018000
0002.55311400, 0000.85388170, 0002.18005700
0002.57631300, 0000.84338180, 0002.17281500
0002.59218600, 0000.83657140, 0002.16854800
0002.60928000, 0000.82704100, 0002.15798100
0002.62637400, 0000.81826890, 0002.14908000
0002.63736300, 0000.81052970, 0002.13766100
0002.65079400, 0000.80271210, 0002.12782400
0002.66910900, 0000.78795790, 0002.10314500
0002.68498200, 0000.77604040, 0002.08365400
0002.70085500, 0000.76294420, 0002.06060100
0002.71794900, 0000.74872550, 0002.03499800
0002.73138000, 0000.73550450, 0002.00894200
0002.74359000, 0000.72547380, 0001.99040200
0002.75702100, 0000.71260750, 0001.96467400
0002.76923100, 0000.70075100, 0001.94054200
0002.78144100, 0000.68602920, 0001.90815000
0002.79609300, 0000.66971710, 0001.87259100
0002.80586100, 0000.65765350, 0001.84528400
0002.81807100, 0000.64116230, 0001.80684100
0002.83150200, 0000.62253560, 0001.76271100
0002.84371200, 0000.60726510, 0001.72688700
0002.85470100, 0000.59263280, 0001.69178900
0002.86813200, 0000.57217630, 0001.64107700
0002.88156300, 0000.55444980, 0001.59768200
0002.89499400, 0000.53428300, 0001.54674600
0002.90842500, 0000.51322970, 0001.49269000
0002.92185600, 0000.49311250, 0001.44080400
0002.93528700, 0000.47413250, 0001.39171500
0002.94749700, 0000.45296870, 0001.33512400
0002.95970700, 0000.43443700, 0001.28580600
0002.97069600, 0000.41590840, 0001.23553800
0002.98290600, 0000.39312160, 0001.17264500
0002.99511600, 0000.36937340, 0001.10631600
0003.00610500, 0000.34747690, 0001.04455200
0003.01587300, 0000.32524570, 0000.98089980
0003.02930400, 0000.29919900, 0000.90636480
0003.04273500, 0000.27488950, 0000.83641600
0003.05372400, 0000.25148460, 0000.76796450
0003.06593400, 0000.22655520, 0000.69460330
0003.07936500, 0000.19995670, 0000.61573990
0003.09035400, 0000.17418290, 0000.53828670
0003.10134300, 0000.14714520, 0000.45634770
0003.11355300, 0000.11969710, 0000.37268340
0003.12576300, 0000.09134448, 0000.28552120
0003.13797300, 0000.06176793, 0000.19382610
0003.14774100, 0000.03799027, 0000.11958350
0003.15506700, 0000.00000000, 0000.00000000
