Voltage (V), Current (A), Power (W)
0000.00000000, 0000.78825420, 0000.00000000
0000.17216120, 0000.78781690, 0000.13563150
0000.26984130, 0000.78673100, 0000.21229250
0000.36752140, 0000.78481070, 0000.28843470
0000.46275950, 0000.78368360, 0000.36265700
0000.60805860, 0000.78179420, 0000.47537670
0000.76312580, 0000.77905530, 0000.59451720
0000.87545790, 0000.77754200, 0000.68070530
0001.01343100, 0000.77703220, 0000.78746850
0001.13308900, 0000.77662100, 0000.87998080
0001.19291800, 0000.77801970, 0000.92811390
0001.28937700, 0000.77724980, 0001.00216800
0001.39682500, 0000.77587080, 0001.08375600
0001.48229600, 0000.77436100, 0001.14783200
0001.60805900, 0000.77291910, 0001.24289900
0001.76190500, 0000.76990490, 0001.35649900
0001.89499400, 0000.76883530, 0001.45693800
0002.05616600, 0000.76905200, 0001.58129900
0002.23443200, 0000.76599500, 0001.71156400
0002.36630000, 0000.76243750, 0001.80415600
0002.47008600, 0000.76019730, 0001.87775200
0002.53724100, 0000.75849440, 0001.92448300
0002.56654500, 0000.75385720, 0001.93480800
0002.57631300, 0000.75238010, 0001.93836600
0002.58363900, 0000.75113280, 0001.94065600
0002.59218600, 0000.74987140, 0001.94380600
0002.60073300, 0000.74832900, 0001.94620400
0002.61050100, 0000.74720320, 0001.95057500
0002.62149000, 0000.74363290, 0001.94942600
0002.63247900, 0000.74046370, 0001.94925500
0002.63980500, 0000.73737130, 0001.94651600
0002.64957300, 0000.73183360, 0001.93904700
0002.65567800, 0000.72787440, 0001.93300000
0002.65934100, 0000.72498020, 0001.92797000
0002.66544600, 0000.72297030, 0001.92703800
0002.67155100, 0000.71922220, 0001.92143900
0002.67521400, 0000.71714050, 0001.91850400
0002.67765600, 0000.71432320, 0001.91271200
0002.68131900, 0000.71365860, 0001.91354600
0002.68498200, 0000.70873770, 0001.90294800
0002.69108700, 0000.70223890, 0001.88978600
0002.69719200, 0000.69664810, 0001.87899300
0002.70451800, 0000.69048180, 0001.86742000
0002.71184400, 0000.68333910, 0001.85310900
0002.71794900, 0000.67782870, 0001.84230400
0002.72405400, 0000.67156970, 0001.82939200
0002.73138000, 0000.66625960, 0001.81980800
0002.73992700, 0000.65768250, 0001.80200200
0002.74847400, 0000.64803380, 0001.78110400
0002.75580000, 0000.64072690, 0001.76571500
0002.76190500, 0000.63425270, 0001.75174600
0002.76923100, 0000.62404710, 0001.72813000
0002.77655700, 0000.61516980, 0001.70805400
0002.78266200, 0000.60674590, 0001.68836900
0002.78998800, 0000.59483700, 0001.65958800
0002.79609300, 0000.58662220, 0001.64025000
0002.80464000, 0000.57399650, 0001.60985400
0002.81074500, 0000.56631100, 0001.59175600
0002.82051300, 0000.55369960, 0001.56171700
0002.82906000, 0000.54279330, 0001.53559500
0002.84127000, 0000.52483370, 0001.49119400
0002.84859600, 0000.51476810, 0001.46636600
0002.85836400, 0000.49841550, 0001.42465300
0002.86691100, 0000.48555940, 0001.39205600
0002.87545800, 0000.47211240, 0001.35753900
0002.88156300, 0000.46176240, 0001.33059700
0002.89011000, 0000.44668590, 0001.29097100
0002.89865700, 0000.43278040, 0001.25448200
0002.90598300, 0000.41724960, 0001.21252000
0002.91575100, 0000.40172710, 0001.17133600
0002.92551900, 0000.38452910, 0001.12494700
0002.93406600, 0000.36893240, 0001.08247200
0002.94261300, 0000.35344560, 0001.04005400
0002.95238100, 0000.33716570, 0000.99544150
0002.96092800, 0000.31883450, 0000.94404600
0002.97069600, 0000.29887040, 0000.88785300
0002.97924300, 0000.28478760, 0000.84845140
0002.98779000, 0000.26599900, 0000.79474910
0002.99633700, 0000.24698880, 0000.74006160
0003.00610500, 0000.22768470, 0000.68444400
0003.01465200, 0000.21086650, 0000.63568900
0003.02564100, 0000.18593200, 0000.56256350
0003.03540900, 0000.16530030, 0000.50175400
0003.04517700, 0000.14475870, 0000.44081590
0003.05494500, 0000.12385380, 0000.37836650
0003.06471300, 0000.10191040, 0000.31232600
0003.07448100, 0000.08048882, 0000.24746140
0003.08547000, 0000.05533401, 0000.17073140
0003.09401800, 0000.03505497, 0000.10846070
0003.10012200, 0000.00000000, 0000.00000000
