Device Id	Operator	Recipe														
IBC_konst_800nmTiO2-70deg	IS	ANA test,IV														
																
Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi			
4,3681	1	0,5	0	0	0,7	100	50	200	0	0	0	-0,6	-0,1			
																
Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0,56262797	0,03762608	8,61383116	0,03202374	0,45379019	14,53206026	68,6463	3,3269	1,493676	150,24	0,01861361	NaN	NaN	NaN	13,025	14:06:48	09/16/2022
																
Vmeas	Imeas															
0,7	-0,1999632	-19,99632														
0,69295	-0,1999572	-19,99572														
0,68585	-0,1999622	-19,99622														
0,6788	-0,1999631	-19,99631														
0,6717	-0,199968	-19,9968														
0,66465	-0,1874126	-18,74126														
0,6576	-0,1646122	-16,46122														
0,6505	-0,1434004	-14,34004														
0,64345	-0,1239667	-12,39667														
0,63635	-0,1060766	-10,60766														
0,6293	-0,09013445	-9,013445														
0,6222	-0,0753526	-7,53526														
0,61515	-0,06215719	-6,215719														
0,6081	-0,05025453	-5,025453														
0,601	-0,03957767	-3,957767														
0,59395	-0,03012962	-3,012962														
0,58685	-0,02171587	-2,171587														
0,5798	-0,01435852	-1,435852														
0,57275	-0,00788894	-0,788894														
0,56565	-0,00212194	-0,212194														
0,5586	0,00290748	0,290748														
0,5515	0,00733799	0,733799														
0,54445	0,0111295	1,11295														
0,53735	0,01451868	1,451868														
0,5303	0,01742437	1,742437														
0,52325	0,01996193	1,996193														
0,51615	0,02217123	2,217123														
0,5091	0,02406966	2,406966														
0,502	0,02571371	2,571371														
0,49495	0,02711256	2,711256														
0,4879	0,02831591	2,831591														
0,4808	0,02934647	2,934647														
0,47375	0,03021936	3,021936														
0,46665	0,03096163	3,096163														
0,4596	0,03158285	3,158285														
0,4525	0,03211259	3,211259														
0,44545	0,03255691	3,255691														
0,4384	0,0329317	3,29317														
0,4313	0,03325016	3,325016														
0,42425	0,03351914	3,351914														
0,41715	0,03375211	3,375211														
0,4101	0,03395005	3,395005														
0,40305	0,03412331	3,412331														
0,39595	0,03427557	3,427557														
0,3889	0,03440997	3,440997														
0,3818	0,03453092	3,453092														
0,37475	0,03463931	3,463931														
0,3677	0,0347392	3,47392														
0,3606	0,03483219	3,483219														
0,35355	0,03491882	3,491882														
0,34645	0,03500086	3,500086														
0,3394	0,03507802	3,507802														
0,3323	0,03515277	3,515277														
0,32525	0,03522386	3,522386														
0,3182	0,03529257	3,529257														
0,3111	0,03535943	3,535943														
0,30405	0,03542406	3,542406														
0,29695	0,03548783	3,548783														
0,2899	0,03554934	3,554934														
0,28285	0,03560969	3,560969														
0,27575	0,03567003	3,567003														
0,2687	0,03572855	3,572855														
0,2616	0,03578637	3,578637														
0,25455	0,03584423	3,584423														
0,24745	0,03590091	3,590091														
0,2404	0,03595655	3,595655														
0,23335	0,03601217	3,601217														
0,22625	0,03606763	3,606763														
0,2192	0,036121	3,6121														
0,2121	0,0361742	3,61742														
0,20505	0,03622691	3,622691														
0,198	0,03627887	3,627887														
0,1909	0,03633107	3,633107														
0,18385	0,0363819	3,63819														
0,17675	0,03643342	3,643342														
0,1697	0,03648414	3,648414														
0,16265	0,036534	3,6534														
0,15555	0,03658413	3,658413														
0,1485	0,03663371	3,663371														
0,1414	0,03668325	3,668325														
0,13435	0,03673168	3,673168														
0,12725	0,03678057	3,678057														
0,1202	0,03682863	3,682863														
0,11315	0,03687617	3,687617														
0,10605	0,03692396	3,692396														
0,099	0,03697129	3,697129														
0,0919	0,03701904	3,701904														
0,08485	0,03706612	3,706612														
0,0778	0,03711274	3,711274														
0,0707	0,03715966	3,715966														
0,06365	0,03720569	3,720569														
0,05655	0,03725194	3,725194														
0,0495	0,03729819	3,729819														
0,0424	0,03734465	3,734465														
0,03535	0,03739075	3,739075														
0,0283	0,03743608	3,743608														
0,0212	0,03748252	3,748252														
0,01415	0,03752784	3,752784														
0,00705	0,03757371	3,757371														
0	0,03762026	3,762026														
