Device Id	Operator	Recipe
IBC_konst_Ref-90deg	IS	ANA test.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
4.368100	1.0000	0.5000	0	0.0000	0.7000	100	50	200	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.47677733	0.00216135	0.49480381	0.00191030	0.38678611	0.73887664	71.7019	0.1692	17.715477	7560.866	0.00093481	NaN	NaN	NaN	13.138	14:22:35	09/16/2022

Vmeas	Imeas
0.70000000	-0.19993870
0.69295000	-0.18277270
0.68585000	-0.16229580
0.67880000	-0.14383840
0.67170000	-0.12711440
0.66465000	-0.11222110
0.65760000	-0.09898365
0.65050000	-0.08693545
0.64345000	-0.07625738
0.63635000	-0.06672910
0.62930000	-0.05831576
0.62220000	-0.05083416
0.61515000	-0.04427433
0.60810000	-0.03844304
0.60100000	-0.03326765
0.59395000	-0.02872177
0.58685000	-0.02469176
0.57980000	-0.02117512
0.57275000	-0.01806023
0.56565000	-0.01530706
0.55860000	-0.01289919
0.55150000	-0.01077325
0.54445000	-0.00893293
0.53735000	-0.00729998
0.53030000	-0.00589997
0.52325000	-0.00467779
0.51615000	-0.00361649
0.50910000	-0.00270797
0.50200000	-0.00192608
0.49495000	-0.00126619
0.48790000	-0.00070377
0.48080000	-0.00022707
0.47375000	0.00017089
0.46665000	0.00050470
0.45960000	0.00077968
0.45250000	0.00100999
0.44545000	0.00119943
0.43840000	0.00135574
0.43130000	0.00148520
0.42425000	0.00159079
0.41715000	0.00167902
0.41010000	0.00175051
0.40305000	0.00180980
0.39595000	0.00185904
0.38890000	0.00189960
0.38180000	0.00193347
0.37475000	0.00196142
0.36770000	0.00198495
0.36060000	0.00200481
0.35355000	0.00202151
0.34645000	0.00203576
0.33940000	0.00204776
0.33230000	0.00205811
0.32525000	0.00206699
0.31820000	0.00207476
0.31110000	0.00208164
0.30405000	0.00208757
0.29695000	0.00209284
0.28990000	0.00209758
0.28285000	0.00210175
0.27575000	0.00210557
0.26870000	0.00210898
0.26160000	0.00211216
0.25455000	0.00211500
0.24745000	0.00211761
0.24040000	0.00212004
0.23335000	0.00212237
0.22625000	0.00212443
0.21920000	0.00212628
0.21210000	0.00212805
0.20505000	0.00212982
0.19800000	0.00213149
0.19090000	0.00213301
0.18385000	0.00213455
0.17675000	0.00213591
0.16970000	0.00213725
0.16265000	0.00213856
0.15555000	0.00213981
0.14850000	0.00214099
0.14140000	0.00214218
0.13435000	0.00214325
0.12725000	0.00214433
0.12020000	0.00214540
0.11315000	0.00214639
0.10605000	0.00214740
0.09900000	0.00214839
0.09190000	0.00214939
0.08485000	0.00215043
0.07780000	0.00215139
0.07070000	0.00215229
0.06365000	0.00215320
0.05655000	0.00215408
0.04950000	0.00215495
0.04240000	0.00215585
0.03535000	0.00215673
0.02830000	0.00215758
0.02120000	0.00215841
0.01415000	0.00215925
0.00705000	0.00216013
-0.00000000	0.00216101
