Device Id	Operator	Recipe
IBC_konst_Ref-30deg	IS	ANA test.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
4.368100	1.0000	0.5000	0	0.0000	0.7000	100	50	200	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.62916132	0.08862627	20.28943222	0.07931880	0.49669995	39.39764502	70.6555	9.0194	0.706620	2107.186	0.05043451	NaN	NaN	NaN	13.239	14:17:55	09/16/2022

Vmeas	Imeas
0.70000000	-0.17530840
0.69295000	-0.14981980
0.68585000	-0.12619290
0.67880000	-0.10457640
0.67170000	-0.08542798
0.66465000	-0.06739511
0.65760000	-0.05092987
0.65050000	-0.03595697
0.64345000	-0.02252239
0.63635000	-0.01037940
0.62930000	0.00024333
0.62220000	0.00961806
0.61515000	0.01797479
0.60810000	0.02583580
0.60100000	0.03287879
0.59395000	0.03912831
0.58685000	0.04471984
0.57980000	0.04964961
0.57275000	0.05406114
0.56565000	0.05800285
0.55860000	0.06149023
0.55150000	0.06460972
0.54445000	0.06734975
0.53735000	0.06981747
0.53030000	0.07197464
0.52325000	0.07389373
0.51615000	0.07560031
0.50910000	0.07709946
0.50200000	0.07842928
0.49495000	0.07959154
0.48790000	0.08061982
0.48080000	0.08152685
0.47375000	0.08231683
0.46665000	0.08301155
0.45960000	0.08361176
0.45250000	0.08414452
0.44545000	0.08460941
0.43840000	0.08501701
0.43130000	0.08537719
0.42425000	0.08569089
0.41715000	0.08597286
0.41010000	0.08621821
0.40305000	0.08644140
0.39595000	0.08664176
0.38890000	0.08682142
0.38180000	0.08698724
0.37475000	0.08713634
0.36770000	0.08727276
0.36060000	0.08739795
0.35355000	0.08751238
0.34645000	0.08761959
0.33940000	0.08771724
0.33230000	0.08780651
0.32525000	0.08788838
0.31820000	0.08796376
0.31110000	0.08803138
0.30405000	0.08809279
0.29695000	0.08814833
0.28990000	0.08819846
0.28285000	0.08824383
0.27575000	0.08828457
0.26870000	0.08832103
0.26160000	0.08835372
0.25455000	0.08838165
0.24745000	0.08840576
0.24040000	0.08842771
0.23335000	0.08844636
0.22625000	0.08846411
0.21920000	0.08847750
0.21210000	0.08849067
0.20505000	0.08850115
0.19800000	0.08851082
0.19090000	0.08851978
0.18385000	0.08852833
0.17675000	0.08853583
0.16970000	0.08854257
0.16265000	0.08854856
0.15555000	0.08855374
0.14850000	0.08855803
0.14140000	0.08856063
0.13435000	0.08856260
0.12725000	0.08856664
0.12020000	0.08857024
0.11315000	0.08857598
0.10605000	0.08858129
0.09900000	0.08858538
0.09190000	0.08858917
0.08485000	0.08859166
0.07780000	0.08859354
0.07070000	0.08859481
0.06365000	0.08859554
0.05655000	0.08859826
0.04950000	0.08860215
0.04240000	0.08860552
0.03535000	0.08860844
0.02830000	0.08861170
0.02120000	0.08861426
0.01415000	0.08861700
0.00705000	0.08861887
-0.00000000	0.08862074
