Device Id	Operator	Recipe														
IBC_konst_800nmTiO2-90deg	IS	ANA test,IV														
																
Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi			
4,3681	1	0,5	0	0	0,7	100	50	200	0	0	0	-0,6	-0,1			
																
Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0,25400274	0,00170389	0,39007657	0,00086691	0,13122626	0,11376192	26,2855	0,026	130,812668	158,38	0,00022366	NaN	NaN	NaN	13,848	14:08:09	09/16/2022
																
Vmeas	Imeas															
0,7	-0,1999607	-19,99607														
0,69295	-0,1999556	-19,99556														
0,68585	-0,1999619	-19,99619														
0,6788	-0,1999652	-19,99652														
0,6717	-0,1999631	-19,99631														
0,66465	-0,1960867	-19,60867														
0,6576	-0,1748408	-17,48408														
0,6505	-0,1552525	-15,52525														
0,64345	-0,1374475	-13,74475														
0,63635	-0,121218	-12,1218														
0,6293	-0,1066419	-10,66419														
0,6222	-0,09358163	-9,358163														
0,61515	-0,08193914	-8,193914														
0,6081	-0,07153449	-7,153449														
0,601	-0,06228037	-6,228037														
0,59395	-0,05416166	-5,416166														
0,58685	-0,0469902	-4,69902														
0,5798	-0,04076825	-4,076825														
0,57275	-0,0352969	-3,52969														
0,56565	-0,03050158	-3,050158														
0,5586	-0,0263452	-2,63452														
0,5515	-0,02271002	-2,271002														
0,54445	-0,01958809	-1,958809														
0,53735	-0,01684581	-1,684581														
0,5303	-0,01451161	-1,451161														
0,52325	-0,01248814	-1,248814														
0,51615	-0,01074105	-1,074105														
0,5091	-0,00924892	-0,924892														
0,502	-0,00796922	-0,796922														
0,49495	-0,00688936	-0,688936														
0,4879	-0,005967	-0,5967														
0,4808	-0,00518273	-0,518273														
0,47375	-0,00452259	-0,452259														
0,46665	-0,00396283	-0,396283														
0,4596	-0,0034949	-0,34949														
0,4525	-0,00309546	-0,309546														
0,44545	-0,00275903	-0,275903														
0,4384	-0,00247353	-0,247353														
0,4313	-0,00222865	-0,222865														
0,42425	-0,00202014	-0,202014														
0,41715	-0,00183709	-0,183709														
0,4101	-0,00167984	-0,167984														
0,40305	-0,00154046	-0,154046														
0,39595	-0,00141552	-0,141552														
0,3889	-0,00130357	-0,130357														
0,3818	-0,00120133	-0,120133														
0,37475	-0,00110815	-0,110815														
0,3677	-0,0010211	-0,10211														
0,3606	-0,00093952	-0,093952														
0,35355	-0,00086257	-0,086257														
0,34645	-0,00078886	-0,078886														
0,3394	-0,00071907	-0,071907														
0,3323	-0,00065124	-0,065124														
0,32525	-0,00058583	-0,058583														
0,3182	-0,0005222	-0,05222														
0,3111	-0,00045993	-0,045993														
0,30405	-0,00039966	-0,039966														
0,29695	-0,00034004	-0,034004														
0,2899	-0,00028182	-0,028182														
0,28285	-0,00022457	-0,022457														
0,27575	-0,00016781	-0,016781														
0,2687	-0,00011232	-0,011232														
0,2616	-0,00005697	-0,005697														
0,25455	-0,00000306	-0,000306														
0,24745	0,00005085	0,005085														
0,2404	0,00010402	0,010402														
0,23335	0,00015638	0,015638														
0,22625	0,00020847	0,020847														
0,2192	0,00025966	0,025966														
0,2121	0,00031088	0,031088														
0,20505	0,00036133	0,036133														
0,198	0,0004114	0,04114														
0,1909	0,00046131	0,046131														
0,18385	0,0005103	0,05103														
0,17675	0,00055957	0,055957														
0,1697	0,00060813	0,060813														
0,16265	0,00065629	0,065629														
0,15555	0,00070437	0,070437														
0,1485	0,00075169	0,075169														
0,1414	0,00079945	0,079945														
0,13435	0,00084625	0,084625														
0,12725	0,00089308	0,089308														
0,1202	0,00093943	0,093943														
0,11315	0,00098556	0,098556														
0,10605	0,0010317	0,10317														
0,099	0,0010771	0,10771														
0,0919	0,00112278	0,112278														
0,08485	0,00116803	0,116803														
0,0778	0,0012132	0,12132														
0,0707	0,00125841	0,125841														
0,06365	0,00130303	0,130303														
0,05655	0,00134791	0,134791														
0,0495	0,00139253	0,139253														
0,0424	0,00143723	0,143723														
0,03535	0,00148166	0,148166														
0,0283	0,00152583	0,152583														
0,0212	0,00157062	0,157062														
0,01415	0,00161466	0,161466														
0,00705	0,00165915	0,165915														
0	0,00170401	0,170401														
