Device Id	Operator	Recipe														
IBC_konst_500nmTiO2-10deg	IS	ANA test,IV														
																
Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi			
4,3681	1	0,5	0	0	0,7	100	50	200	0	0	0	-0,6	-0,1			
																
Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0,60625443	0,12618038	28,88678913	0,1152037	0,47900028	55,18260375	72,1366	12,6331	0,53149	1265,34	0,06958659	NaN	NaN	NaN	13,142	13:45:13	09/16/2022
																
Vmeas	Imeas															
0,7	-0,2000248	-20,00248														
0,69295	-0,2000274	-20,00274														
0,68585	-0,2000277	-20,00277														
0,6788	-0,1960205	-19,60205														
0,6717	-0,1721026	-17,21026														
0,66465	-0,1493174	-14,93174														
0,6576	-0,1273266	-12,73266														
0,6505	-0,1062019	-10,62019														
0,64345	-0,08701809	-8,701809														
0,63635	-0,06787728	-6,787728														
0,6293	-0,04988885	-4,988885														
0,6222	-0,03291411	-3,291411														
0,61515	-0,01719066	-1,719066														
0,6081	-0,00289278	-0,289278														
0,601	0,01014388	1,014388														
0,59395	0,02276713	2,276713														
0,58685	0,03438293	3,438293														
0,5798	0,04485663	4,485663														
0,57275	0,05439981	5,439981														
0,56565	0,06304723	6,304723														
0,5586	0,07076948	7,076948														
0,5515	0,07771846	7,771846														
0,54445	0,08383881	8,383881														
0,53735	0,08934785	8,934785														
0,5303	0,09414517	9,414517														
0,52325	0,09839715	9,839715														
0,51615	0,1021526	10,21526														
0,5091	0,1053013	10,53013														
0,502	0,1081875	10,81875														
0,49495	0,110675	11,0675														
0,4879	0,1128654	11,28654														
0,4808	0,1147797	11,47797														
0,47375	0,1164163	11,64163														
0,46665	0,1178444	11,78444														
0,4596	0,1190615	11,90615														
0,4525	0,1201197	12,01197														
0,44545	0,1210165	12,10165														
0,4384	0,121782	12,1782														
0,4313	0,1224349	12,24349														
0,42425	0,1229878	12,29878														
0,41715	0,1234566	12,34566														
0,4101	0,123847	12,3847														
0,40305	0,1241834	12,41834														
0,39595	0,1244672	12,44672														
0,3889	0,1247018	12,47018														
0,3818	0,1249041	12,49041														
0,37475	0,1250676	12,50676														
0,3677	0,1252063	12,52063														
0,3606	0,1253262	12,53262														
0,35355	0,1254275	12,54275														
0,34645	0,1255103	12,55103														
0,3394	0,1255788	12,55788														
0,3323	0,1256373	12,56373														
0,32525	0,1256903	12,56903														
0,3182	0,1257336	12,57336														
0,3111	0,1257714	12,57714														
0,30405	0,1258042	12,58042														
0,29695	0,1258323	12,58323														
0,2899	0,1258546	12,58546														
0,28285	0,1258748	12,58748														
0,27575	0,125887	12,5887														
0,2687	0,1259097	12,59097														
0,2616	0,1259194	12,59194														
0,25455	0,1259366	12,59366														
0,24745	0,1259501	12,59501														
0,2404	0,1259576	12,59576														
0,23335	0,1259741	12,59741														
0,22625	0,1259812	12,59812														
0,2192	0,1259883	12,59883														
0,2121	0,1259975	12,59975														
0,20505	0,126003	12,6003														
0,198	0,1260131	12,60131														
0,1909	0,126019	12,6019														
0,18385	0,126027	12,6027														
0,17675	0,1260353	12,60353														
0,1697	0,1260426	12,60426														
0,16265	0,1260514	12,60514														
0,15555	0,1260525	12,60525														
0,1485	0,1260636	12,60636														
0,1414	0,126069	12,6069														
0,13435	0,1260753	12,60753														
0,12725	0,1260804	12,60804														
0,1202	0,1260909	12,60909														
0,11315	0,1260921	12,60921														
0,10605	0,1260993	12,60993														
0,099	0,1261039	12,61039														
0,0919	0,1261128	12,61128														
0,08485	0,1261127	12,61127														
0,0778	0,1261162	12,61162														
0,0707	0,1261275	12,61275														
0,06365	0,1261346	12,61346														
0,05655	0,1261371	12,61371														
0,0495	0,1261435	12,61435														
0,0424	0,1261476	12,61476														
0,03535	0,1261527	12,61527														
0,0283	0,1261565	12,61565														
0,0212	0,1261615	12,61615														
0,01415	0,1261687	12,61687														
0,00705	0,1261708	12,61708														
0	0,1261754	12,61754														
