Device Id	Operator	Recipe
IBC_konst_Ref-80deg	IS	ANA test.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
4.368100	1.0000	0.5000	0	0.0000	0.7000	100	50	200	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.52950021	0.00848125	1.94163403	0.00774084	0.43102757	3.33651715	74.2963	0.7638	5.124537	6806.210	0.00413189	NaN	NaN	NaN	13.128	14:22:01	09/16/2022

Vmeas	Imeas
0.70000000	-0.19993930
0.69295000	-0.18128410
0.68585000	-0.16049020
0.67880000	-0.14170800
0.67170000	-0.12465820
0.66465000	-0.10945590
0.65760000	-0.09594207
0.65050000	-0.08360653
0.64345000	-0.07266752
0.63635000	-0.06289137
0.62930000	-0.05425315
0.62220000	-0.04656130
0.61515000	-0.03980924
0.60810000	-0.03380029
0.60100000	-0.02846243
0.59395000	-0.02376859
0.58685000	-0.01960327
0.57980000	-0.01596537
0.57275000	-0.01274056
0.56565000	-0.00989625
0.55860000	-0.00739482
0.55150000	-0.00518364
0.54445000	-0.00326390
0.53735000	-0.00155935
0.53030000	-0.00009719
0.52325000	0.00118833
0.51615000	0.00230187
0.50910000	0.00325730
0.50200000	0.00408198
0.49495000	0.00478031
0.48790000	0.00537786
0.48080000	0.00588576
0.47375000	0.00631150
0.46665000	0.00667047
0.45960000	0.00696767
0.45250000	0.00721750
0.44545000	0.00742385
0.43840000	0.00759453
0.43130000	0.00773612
0.42425000	0.00785163
0.41715000	0.00794841
0.41010000	0.00802695
0.40305000	0.00809219
0.39595000	0.00814668
0.38890000	0.00819175
0.38180000	0.00822977
0.37475000	0.00826115
0.36770000	0.00828731
0.36060000	0.00830936
0.35355000	0.00832783
0.34645000	0.00834346
0.33940000	0.00835708
0.33230000	0.00836853
0.32525000	0.00837828
0.31820000	0.00838703
0.31110000	0.00839436
0.30405000	0.00840136
0.29695000	0.00840731
0.28990000	0.00841211
0.28285000	0.00841692
0.27575000	0.00842105
0.26870000	0.00842473
0.26160000	0.00842848
0.25455000	0.00843150
0.24745000	0.00843439
0.24040000	0.00843691
0.23335000	0.00843904
0.22625000	0.00844158
0.21920000	0.00844369
0.21210000	0.00844559
0.20505000	0.00844723
0.19800000	0.00844908
0.19090000	0.00845072
0.18385000	0.00845216
0.17675000	0.00845373
0.16970000	0.00845492
0.16265000	0.00845636
0.15555000	0.00845783
0.14850000	0.00845924
0.14140000	0.00846030
0.13435000	0.00846160
0.12725000	0.00846258
0.12020000	0.00846381
0.11315000	0.00846438
0.10605000	0.00846559
0.09900000	0.00846712
0.09190000	0.00846821
0.08485000	0.00846904
0.07780000	0.00846999
0.07070000	0.00847120
0.06365000	0.00847207
0.05655000	0.00847298
0.04950000	0.00847381
0.04240000	0.00847483
0.03535000	0.00847609
0.02830000	0.00847697
0.02120000	0.00847818
0.01415000	0.00847915
0.00705000	0.00848002
-0.00000000	0.00848095
