Device Id	Operator	Recipe														
IBC_konst_400nmTiO2-0deg	IS	ANA test,IV														
																
Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi			
4,3681	1	0,5	0	0	0,7	100	50	200	0	0	0	-0,6	-0,1			
																
Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0,60209591	0,10773244	24,66345497	0,09042388	0,46576485	42,1162635	64,9288	9,6418	0,729054	48,279	0,05565524	NaN	NaN	NaN	13,141	13:34:58	09/16/2022
																
Vmeas	Imeas															
0,7	-0,1996925	-19,96925														
0,69295	-0,1917212	-19,17212														
0,68585	-0,1720378	-17,20378														
0,6788	-0,1531541	-15,31541														
0,6717	-0,134919	-13,4919														
0,66465	-0,1175275	-11,75275														
0,6576	-0,1009862	-10,09862														
0,6505	-0,08590367	-8,590367														
0,64345	-0,07081445	-7,081445														
0,63635	-0,0564738	-5,64738														
0,6293	-0,04302231	-4,302231														
0,6222	-0,03033759	-3,033759														
0,61515	-0,01858228	-1,858228														
0,6081	-0,00792797	-0,792797														
0,601	0,00239913	0,239913														
0,59395	0,01135998	1,135998														
0,58685	0,02019854	2,019854														
0,5798	0,02823875	2,823875														
0,57275	0,03563955	3,563955														
0,56565	0,04242758	4,242758														
0,5586	0,04857663	4,857663														
0,5515	0,05419709	5,419709														
0,54445	0,05923669	5,923669														
0,53735	0,0638545	6,38545														
0,5303	0,0679573	6,79573														
0,52325	0,07166946	7,166946														
0,51615	0,07501963	7,501963														
0,5091	0,07800356	7,800356														
0,502	0,08068772	8,068772														
0,49495	0,08306042	8,306042														
0,4879	0,08518828	8,518828														
0,4808	0,08708609	8,708609														
0,47375	0,08876301	8,876301														
0,46665	0,09025372	9,025372														
0,4596	0,09155726	9,155726														
0,4525	0,09271836	9,271836														
0,44545	0,09373377	9,373377														
0,4384	0,09462447	9,462447														
0,4313	0,09541064	9,541064														
0,42425	0,09609258	9,609258														
0,41715	0,09669825	9,669825														
0,4101	0,09722689	9,722689														
0,40305	0,09769284	9,769284														
0,39595	0,09810782	9,810782														
0,3889	0,09847407	9,847407														
0,3818	0,09880628	9,880628														
0,37475	0,09910426	9,910426														
0,3677	0,099377	9,9377														
0,3606	0,09962935	9,962935														
0,35355	0,0998611	9,98611														
0,34645	0,1000813	10,00813														
0,3394	0,1002875	10,02875														
0,3323	0,1004849	10,04849														
0,32525	0,1006735	10,06735														
0,3182	0,1008539	10,08539														
0,3111	0,1010316	10,10316														
0,30405	0,1012045	10,12045														
0,29695	0,1013746	10,13746														
0,2899	0,1015408	10,15408														
0,28285	0,1017035	10,17035														
0,27575	0,1018667	10,18667														
0,2687	0,1020279	10,20279														
0,2616	0,1021878	10,21878														
0,25455	0,1023459	10,23459														
0,24745	0,1025037	10,25037														
0,2404	0,1026586	10,26586														
0,23335	0,1028139	10,28139														
0,22625	0,1029695	10,29695														
0,2192	0,1031235	10,31235														
0,2121	0,1032781	10,32781														
0,20505	0,1034299	10,34299														
0,198	0,103581	10,3581														
0,1909	0,1037336	10,37336														
0,18385	0,1038844	10,38844														
0,17675	0,1040362	10,40362														
0,1697	0,1041855	10,41855														
0,16265	0,1043359	10,43359														
0,15555	0,1044853	10,44853														
0,1485	0,1046355	10,46355														
0,1414	0,1047852	10,47852														
0,13435	0,1049323	10,49323														
0,12725	0,1051283	10,51283														
0,1202	0,1052779	10,52779														
0,11315	0,1054209	10,54209														
0,10605	0,1055656	10,55656														
0,099	0,1057139	10,57139														
0,0919	0,1058573	10,58573														
0,08485	0,1060061	10,60061														
0,0778	0,1061495	10,61495														
0,0707	0,1062878	10,62878														
0,06365	0,1064316	10,64316														
0,05655	0,1065754	10,65754														
0,0495	0,1067162	10,67162														
0,0424	0,1068587	10,68587														
0,03535	0,1069975	10,69975														
0,0283	0,107132	10,7132														
0,0212	0,1072766	10,72766														
0,01415	0,1074129	10,74129														
0,00705	0,1075512	10,75512														
0	0,1076911	10,76911														
