Device Id	Operator	Recipe														
IBC_konst_800nmTiO2-80deg	IS	ANA test,IV														
																
Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi			
4,3681	1	0,5	0	0	0,7	100	50	200	0	0	0	-0,6	-0,1			
																
Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0,51935635	0,01420327	3,25159106	0,01057006	0,41776037	4,4157514	59,8619	1,0109	3,996751	155,115	0,00604531	NaN	NaN	NaN	13,35	14:07:32	09/16/2022
																
Vmeas	Imeas															
0,7	-0,1999616	-19,99616														
0,69295	-0,1999561	-19,99561														
0,68585	-0,19996	-19,996														
0,6788	-0,1999637	-19,99637														
0,6717	-0,1999645	-19,99645														
0,66465	-0,1934922	-19,34922														
0,6576	-0,1716343	-17,16343														
0,6505	-0,1514128	-15,14128														
0,64345	-0,1329822	-13,29822														
0,63635	-0,1161213	-11,61213														
0,6293	-0,1009172	-10,09172														
0,6222	-0,08729948	-8,729948														
0,61515	-0,07507446	-7,507446														
0,6081	-0,0641114	-6,41114														
0,601	-0,05433003	-5,433003														
0,59395	-0,04571977	-4,571977														
0,58685	-0,03809234	-3,809234														
0,5798	-0,0314556	-3,14556														
0,57275	-0,02560449	-2,560449														
0,56565	-0,02046338	-2,046338														
0,5586	-0,01599759	-1,599759														
0,5515	-0,01208222	-1,208222														
0,54445	-0,00871575	-0,871575														
0,53735	-0,00574749	-0,574749														
0,5303	-0,00321532	-0,321532														
0,52325	-0,0010158	-0,10158														
0,51615	0,00089271	0,089271														
0,5091	0,0025173	0,25173														
0,502	0,0039161	0,39161														
0,49495	0,00509781	0,509781														
0,4879	0,00610868	0,610868														
0,4808	0,00696839	0,696839														
0,47375	0,00769118	0,769118														
0,46665	0,00830302	0,830302														
0,4596	0,00881218	0,881218														
0,4525	0,00924483	0,924483														
0,44545	0,00960709	0,960709														
0,4384	0,00991323	0,991323														
0,4313	0,01017324	1,017324														
0,42425	0,01039354	1,039354														
0,41715	0,0105856	1,05856														
0,4101	0,01074975	1,074975														
0,40305	0,0108945	1,08945														
0,39595	0,01102348	1,102348														
0,3889	0,01113869	1,113869														
0,3818	0,01124379	1,124379														
0,37475	0,0113395	1,13395														
0,3677	0,01142875	1,142875														
0,3606	0,01151282	1,151282														
0,35355	0,01159189	1,159189														
0,34645	0,01166731	1,166731														
0,3394	0,01173895	1,173895														
0,3323	0,0118083	1,18083														
0,32525	0,01187515	1,187515														
0,3182	0,01193983	1,193983														
0,3111	0,01200345	1,200345														
0,30405	0,0120645	1,20645														
0,29695	0,01212587	1,212587														
0,2899	0,01218458	1,218458														
0,28285	0,01224326	1,224326														
0,27575	0,01230072	1,230072														
0,2687	0,01235751	1,235751														
0,2616	0,01241398	1,241398														
0,25455	0,01246879	1,246879														
0,24745	0,01252369	1,252369														
0,2404	0,01257767	1,257767														
0,23335	0,012631	1,2631														
0,22625	0,01268402	1,268402														
0,2192	0,01273634	1,273634														
0,2121	0,01278857	1,278857														
0,20505	0,0128398	1,28398														
0,198	0,01289054	1,289054														
0,1909	0,01294108	1,294108														
0,18385	0,01299077	1,299077														
0,17675	0,01304067	1,304067														
0,1697	0,01309003	1,309003														
0,16265	0,01313898	1,313898														
0,15555	0,0131879	1,31879														
0,1485	0,01323628	1,323628														
0,1414	0,01328445	1,328445														
0,13435	0,01333195	1,333195														
0,12725	0,01337915	1,337915														
0,1202	0,01342593	1,342593														
0,11315	0,01347259	1,347259														
0,10605	0,01351955	1,351955														
0,099	0,01356567	1,356567														
0,0919	0,01361205	1,361205														
0,08485	0,01365806	1,365806														
0,0778	0,01370386	1,370386														
0,0707	0,01374964	1,374964														
0,06365	0,01379475	1,379475														
0,05655	0,01384022	1,384022														
0,0495	0,01388542	1,388542														
0,0424	0,01393089	1,393089														
0,03535	0,01397585	1,397585														
0,0283	0,01402066	1,402066														
0,0212	0,01406589	1,406589														
0,01415	0,01411058	1,411058														
0,00705	0,01415567	1,415567														
0	0,01420124	1,420124														
