Device Id	Operator	Recipe														
IBC_konst_400nmTiO2-60deg	IS	ANA test,IV														
																
Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi			
4,3681	1	0,5	0	0	0,7	100	50	200	0	0	0	-0,6	-0,1			
																
Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0,57272256	0,05118418	11,71772112	0,04195832	0,45296995	19,00585859	64,8347	4,3511	1,246634	111,602	0,02516336	NaN	NaN	NaN	13,36	13:32:09	09/16/2022
																
Vmeas	Imeas															
0,7	-0,1996586	-19,96586														
0,69295	-0,1996595	-19,96595														
0,68585	-0,1911571	-19,11571														
0,6788	-0,1728065	-17,28065														
0,6717	-0,1552005	-15,52005														
0,66465	-0,1385241	-13,85241														
0,6576	-0,1227777	-12,27777														
0,6505	-0,1077472	-10,77472														
0,64345	-0,09412202	-9,412202														
0,63635	-0,08085209	-8,085209														
0,6293	-0,06853528	-6,853528														
0,6222	-0,05705465	-5,705465														
0,61515	-0,04654487	-4,654487														
0,6081	-0,03682112	-3,682112														
0,601	-0,02787699	-2,787699														
0,59395	-0,01975812	-1,975812														
0,58685	-0,01234785	-1,234785														
0,5798	-0,00578209	-0,578209														
0,57275	0,00019994	0,019994														
0,56565	0,00555623	0,555623														
0,5586	0,01042171	1,042171														
0,5515	0,01472525	1,472525														
0,54445	0,0185912	1,85912														
0,53735	0,02207705	2,207705														
0,5303	0,0251236	2,51236														
0,52325	0,02783512	2,783512														
0,51615	0,03023985	3,023985														
0,5091	0,03234702	3,234702														
0,502	0,03420747	3,420747														
0,49495	0,03582285	3,582285														
0,4879	0,03724175	3,724175														
0,4808	0,03848406	3,848406														
0,47375	0,03955887	3,955887														
0,46665	0,04049571	4,049571														
0,4596	0,04129926	4,129926														
0,4525	0,0420007	4,20007														
0,44545	0,0426039	4,26039														
0,4384	0,04312558	4,312558														
0,4313	0,04358064	4,358064														
0,42425	0,04397304	4,397304														
0,41715	0,0443214	4,43214														
0,4101	0,04462694	4,462694														
0,40305	0,04489957	4,489957														
0,39595	0,04514659	4,514659														
0,3889	0,0453694	4,53694														
0,3818	0,04557624	4,557624														
0,37475	0,04576785	4,576785														
0,3677	0,04594819	4,594819														
0,3606	0,04612007	4,612007														
0,35355	0,04628208	4,628208														
0,34645	0,04643965	4,643965														
0,3394	0,04659059	4,659059														
0,3323	0,04673825	4,673825														
0,32525	0,04688128	4,688128														
0,3182	0,04702052	4,702052														
0,3111	0,04715844	4,715844														
0,30405	0,04729269	4,729269														
0,29695	0,04742558	4,742558														
0,2899	0,04755614	4,755614														
0,28285	0,04768331	4,768331														
0,27575	0,04781004	4,781004														
0,2687	0,04793477	4,793477														
0,2616	0,04805825	4,805825														
0,25455	0,04817902	4,817902														
0,24745	0,04829854	4,829854														
0,2404	0,04841537	4,841537														
0,23335	0,04853111	4,853111														
0,22625	0,04864611	4,864611														
0,2192	0,04875894	4,875894														
0,2121	0,04887087	4,887087														
0,20505	0,04898034	4,898034														
0,198	0,04908838	4,908838														
0,1909	0,04919501	4,919501														
0,18385	0,04929952	4,929952														
0,17675	0,04940306	4,940306														
0,1697	0,04950383	4,950383														
0,16265	0,04960313	4,960313														
0,15555	0,0497006	4,97006														
0,1485	0,04979594	4,979594														
0,1414	0,04988939	4,988939														
0,13435	0,04997946	4,997946														
0,12725	0,05006734	5,006734														
0,1202	0,05015191	5,015191														
0,11315	0,05023264	5,023264														
0,10605	0,05031098	5,031098														
0,099	0,05038541	5,038541														
0,0919	0,05045626	5,045626														
0,08485	0,05052317	5,052317														
0,0778	0,05058569	5,058569														
0,0707	0,05064476	5,064476														
0,06365	0,05069904	5,069904														
0,05655	0,05075019	5,075019														
0,0495	0,05079596	5,079596														
0,0424	0,05083778	5,083778														
0,03535	0,05087547	5,087547														
0,0283	0,05090883	5,090883														
0,0212	0,05093905	5,093905														
0,01415	0,05096481	5,096481														
0,00705	0,05098777	5,098777														
0	0,05100826	5,100826														
