Device Id	Operator	Recipe
IBC_konst_Ref-0deg	IS	ANA test.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
4.368100	1.0000	0.5000	0	0.0000	0.7000	100	50	200	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.61631965	0.10887726	24.92554169	0.09651533	0.48273032	46.59087560	69.4317	10.6662	0.594541	1146.760	0.06027667	NaN	NaN	NaN	13.142	14:14:10	09/16/2022

Vmeas	Imeas
0.70000000	-0.19995150
0.69295000	-0.19994900
0.68585000	-0.19347800
0.67880000	-0.16583940
0.67170000	-0.14002690
0.66465000	-0.11635640
0.65760000	-0.09482355
0.65050000	-0.07453618
0.64345000	-0.05607568
0.63635000	-0.03917056
0.62930000	-0.02388637
0.62220000	-0.01009176
0.61515000	0.00239257
0.60810000	0.01360112
0.60100000	0.02379425
0.59395000	0.03290302
0.58685000	0.04111659
0.57980000	0.04839100
0.57275000	0.05494229
0.56565000	0.06082323
0.55860000	0.06605040
0.55150000	0.07074493
0.54445000	0.07488906
0.53735000	0.07864200
0.53030000	0.08193568
0.52325000	0.08488760
0.51615000	0.08752974
0.50910000	0.08986820
0.50200000	0.09195793
0.49495000	0.09379636
0.48790000	0.09543641
0.48080000	0.09689640
0.47375000	0.09818309
0.46665000	0.09932975
0.45960000	0.10032690
0.45250000	0.10121730
0.44545000	0.10199800
0.43840000	0.10268680
0.43130000	0.10329640
0.42425000	0.10382950
0.41715000	0.10430500
0.41010000	0.10471810
0.40305000	0.10503700
0.39595000	0.10536280
0.38890000	0.10565620
0.38180000	0.10592110
0.37475000	0.10616070
0.36770000	0.10637000
0.36060000	0.10657480
0.35355000	0.10675900
0.34645000	0.10692510
0.33940000	0.10707040
0.33230000	0.10722270
0.32525000	0.10734910
0.31820000	0.10747660
0.31110000	0.10759430
0.30405000	0.10770230
0.29695000	0.10780030
0.28990000	0.10790200
0.28285000	0.10798310
0.27575000	0.10806390
0.26870000	0.10814030
0.26160000	0.10821600
0.25455000	0.10827910
0.24745000	0.10834210
0.24040000	0.10839510
0.23335000	0.10844770
0.22625000	0.10848670
0.21920000	0.10853340
0.21210000	0.10856580
0.20505000	0.10859910
0.19800000	0.10862760
0.19090000	0.10865120
0.18385000	0.10867760
0.17675000	0.10869100
0.16970000	0.10871300
0.16265000	0.10873020
0.15555000	0.10874450
0.14850000	0.10875580
0.14140000	0.10876210
0.13435000	0.10877300
0.12725000	0.10878150
0.12020000	0.10878690
0.11315000	0.10879620
0.10605000	0.10879780
0.09900000	0.10880750
0.09190000	0.10881260
0.08485000	0.10881380
0.07780000	0.10881590
0.07070000	0.10882610
0.06365000	0.10883190
0.05655000	0.10883070
0.04950000	0.10882980
0.04240000	0.10883870
0.03535000	0.10884370
0.02830000	0.10884540
0.02120000	0.10884840
0.01415000	0.10885510
0.00705000	0.10885460
-0.00000000	0.10885800
