Device Id	Operator	Recipe
IBC_konst_Ref-20deg	IS	ANA test.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
4.368100	1.0000	0.5000	0	0.0000	0.7000	100	50	200	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.63322041	0.09904109	22.67372314	0.08836942	0.49962266	44.15136479	70.4002	10.1077	0.641695	1786.919	0.05666462	NaN	NaN	NaN	13.011	14:17:10	09/16/2022

Vmeas	Imeas
0.70000000	-0.17195420
0.69295000	-0.14613550
0.68585000	-0.12215730
0.67880000	-0.10018850
0.67170000	-0.08077096
0.66465000	-0.06238368
0.65760000	-0.04557583
0.65050000	-0.03025611
0.64345000	-0.01648908
0.63635000	-0.00435608
0.62930000	0.00685991
0.62220000	0.01645003
0.61515000	0.02543373
0.60810000	0.03350975
0.60100000	0.04075906
0.59395000	0.04719719
0.58685000	0.05296595
0.57980000	0.05805731
0.57275000	0.06261691
0.56565000	0.06669544
0.55860000	0.07030492
0.55150000	0.07353664
0.54445000	0.07638051
0.53735000	0.07894525
0.53030000	0.08118891
0.52325000	0.08319178
0.51615000	0.08497638
0.50910000	0.08654556
0.50200000	0.08794305
0.49495000	0.08916304
0.48790000	0.09024508
0.48080000	0.09120063
0.47375000	0.09203739
0.46665000	0.09277707
0.45960000	0.09342080
0.45250000	0.09399157
0.44545000	0.09449100
0.43840000	0.09493022
0.43130000	0.09531935
0.42425000	0.09565958
0.41715000	0.09596644
0.41010000	0.09623533
0.40305000	0.09647782
0.39595000	0.09669759
0.38890000	0.09689623
0.38180000	0.09707763
0.37475000	0.09724174
0.36770000	0.09739414
0.36060000	0.09753534
0.35355000	0.09766583
0.34645000	0.09778637
0.33940000	0.09789705
0.33230000	0.09799895
0.32525000	0.09809331
0.31820000	0.09818069
0.31110000	0.09826303
0.30405000	0.09833779
0.29695000	0.09840810
0.28990000	0.09847301
0.28285000	0.09853232
0.27575000	0.09858591
0.26870000	0.09863336
0.26160000	0.09867597
0.25455000	0.09871378
0.24745000	0.09874810
0.24040000	0.09877805
0.23335000	0.09880483
0.22625000	0.09882948
0.21920000	0.09885085
0.21210000	0.09886918
0.20505000	0.09888550
0.19800000	0.09890003
0.19090000	0.09891158
0.18385000	0.09892228
0.17675000	0.09893107
0.16970000	0.09893916
0.16265000	0.09894608
0.15555000	0.09895299
0.14850000	0.09895950
0.14140000	0.09896553
0.13435000	0.09897148
0.12725000	0.09897704
0.12020000	0.09898125
0.11315000	0.09898509
0.10605000	0.09898846
0.09900000	0.09899147
0.09190000	0.09899429
0.08485000	0.09899786
0.07780000	0.09900259
0.07070000	0.09900613
0.06365000	0.09900934
0.05655000	0.09901235
0.04950000	0.09901442
0.04240000	0.09901685
0.03535000	0.09901870
0.02830000	0.09902086
0.02120000	0.09902395
0.01415000	0.09902731
0.00705000	0.09903081
-0.00000000	0.09903370
