Device Id	Operator	Recipe
IBC_konst_Ref-50deg	IS	ANA test.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
4.368100	1.0000	0.5000	0	0.0000	0.7000	100	50	200	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
0.61529315	0.06064801	13.88430084	0.05476194	0.48844687	26.74829603	71.6799	6.1236	0.971808	2737.233	0.03393546	NaN	NaN	NaN	13.357	14:19:48	09/16/2022

Vmeas	Imeas
0.70000000	-0.17953000
0.69295000	-0.15534290
0.68585000	-0.13303530
0.67880000	-0.11274380
0.67170000	-0.09474939
0.66465000	-0.07800501
0.65760000	-0.06280149
0.65050000	-0.04904805
0.64345000	-0.03676716
0.63635000	-0.02572061
0.62930000	-0.01589765
0.62220000	-0.00724919
0.61515000	0.00045027
0.60810000	0.00724084
0.60100000	0.01333688
0.59395000	0.01888183
0.58685000	0.02382655
0.57980000	0.02817043
0.57275000	0.03204568
0.56565000	0.03549384
0.55860000	0.03853272
0.55150000	0.04123957
0.54445000	0.04360856
0.53735000	0.04573077
0.53030000	0.04757641
0.52325000	0.04921076
0.51615000	0.05065342
0.50910000	0.05191315
0.50200000	0.05302176
0.49495000	0.05398154
0.48790000	0.05482368
0.48080000	0.05555913
0.47375000	0.05619475
0.46665000	0.05674847
0.45960000	0.05722281
0.45250000	0.05763733
0.44545000	0.05799579
0.43840000	0.05830672
0.43130000	0.05857962
0.42425000	0.05881585
0.41715000	0.05902530
0.41010000	0.05920650
0.40305000	0.05936697
0.39595000	0.05950998
0.38890000	0.05963556
0.38180000	0.05974777
0.37475000	0.05984609
0.36770000	0.05993404
0.36060000	0.06001342
0.35355000	0.06008326
0.34645000	0.06014659
0.33940000	0.06020221
0.33230000	0.06025122
0.32525000	0.06029342
0.31820000	0.06033075
0.31110000	0.06036340
0.30405000	0.06039144
0.29695000	0.06041640
0.28990000	0.06043728
0.28285000	0.06045535
0.27575000	0.06047210
0.26870000	0.06048834
0.26160000	0.06050143
0.25455000	0.06051314
0.24745000	0.06052288
0.24040000	0.06053100
0.23335000	0.06053841
0.22625000	0.06054509
0.21920000	0.06055066
0.21210000	0.06055671
0.20505000	0.06056236
0.19800000	0.06056793
0.19090000	0.06057356
0.18385000	0.06057836
0.17675000	0.06058180
0.16970000	0.06058463
0.16265000	0.06058734
0.15555000	0.06058997
0.14850000	0.06059308
0.14140000	0.06059612
0.13435000	0.06059952
0.12725000	0.06060265
0.12020000	0.06060606
0.11315000	0.06060904
0.10605000	0.06061134
0.09900000	0.06061370
0.09190000	0.06061581
0.08485000	0.06061804
0.07780000	0.06062098
0.07070000	0.06062332
0.06365000	0.06062531
0.05655000	0.06062796
0.04950000	0.06063022
0.04240000	0.06063261
0.03535000	0.06063446
0.02830000	0.06063651
0.02120000	0.06063923
0.01415000	0.06064171
0.00705000	0.06064389
-0.00000000	0.06064605
