nm; %T
1334,000000; 0,475657
1333,000000; 0,425629
1332,000000; 0,465045
1331,000000; 0,476514
1330,000000; 0,439382
1329,000000; 0,453654
1328,000000; 0,474600
1327,000000; 0,483608
1326,000000; 0,453536
1325,000000; 0,434306
1324,000000; 0,424667
1323,000000; 0,496890
1322,000000; 0,512780
1321,000000; 0,526081
1320,000000; 0,446338
1319,000000; 0,416270
1318,000000; 0,420563
1317,000000; 0,483516
1316,000000; 0,486580
1315,000000; 0,433177
1314,000000; 0,457608
1313,000000; 0,422103
1312,000000; 0,504019
1311,000000; 0,441880
1310,000000; 0,469952
1309,000000; 0,452859
1308,000000; 0,496559
1307,000000; 0,467645
1306,000000; 0,450455
1305,000000; 0,456435
1304,000000; 0,456444
1303,000000; 0,441456
1302,000000; 0,421450
1301,000000; 0,456006
1300,000000; 0,438944
1299,000000; 0,485388
1298,000000; 0,484895
1297,000000; 0,455691
1296,000000; 0,464869
1295,000000; 0,498011
1294,000000; 0,458571
1293,000000; 0,464137
1292,000000; 0,438578
1291,000000; 0,433147
1290,000000; 0,494344
1289,000000; 0,458513
1288,000000; 0,465750
1287,000000; 0,477988
1286,000000; 0,487987
1285,000000; 0,478531
1284,000000; 0,463714
1283,000000; 0,452217
1282,000000; 0,471131
1281,000000; 0,500569
1280,000000; 0,471305
1279,000000; 0,455119
1278,000000; 0,476402
1277,000000; 0,478753
1276,000000; 0,472646
1275,000000; 0,470755
1274,000000; 0,466786
1273,000000; 0,458065
1272,000000; 0,424627
1271,000000; 0,488067
1270,000000; 0,462592
1269,000000; 0,450562
1268,000000; 0,461909
1267,000000; 0,456390
1266,000000; 0,480461
1265,000000; 0,471605
1264,000000; 0,472894
1263,000000; 0,448878
1262,000000; 0,455438
1261,000000; 0,476373
1260,000000; 0,450159
1259,000000; 0,472449
1258,000000; 0,485733
1257,000000; 0,474007
1256,000000; 0,477483
1255,000000; 0,472481
1254,000000; 0,437362
1253,000000; 0,456185
1252,000000; 0,482713
1251,000000; 0,476465
1250,000000; 0,464098
1249,000000; 0,473216
1248,000000; 0,450709
