nm; %R
1334,000000; 47,629234
1333,000000; 47,640161
1332,000000; 47,655236
1331,000000; 47,664790
1330,000000; 47,683664
1329,000000; 47,643046
1328,000000; 47,647893
1327,000000; 47,683113
1326,000000; 47,695443
1325,000000; 47,645028
1324,000000; 47,634457
1323,000000; 47,683175
1322,000000; 47,702163
1321,000000; 47,671214
1320,000000; 47,669876
1319,000000; 47,700087
1318,000000; 47,695871
1317,000000; 47,689193
1316,000000; 47,688208
1315,000000; 47,678390
1314,000000; 47,689630
1313,000000; 47,686986
1312,000000; 47,701283
1311,000000; 47,698342
1310,000000; 47,709963
1309,000000; 47,678213
1308,000000; 47,693992
1307,000000; 47,706375
1306,000000; 47,681798
1305,000000; 47,676545
1304,000000; 47,715676
1303,000000; 47,725108
1302,000000; 47,703362
1301,000000; 47,739354
1300,000000; 47,727222
1299,000000; 47,741550
1298,000000; 47,709563
1297,000000; 47,756158
1296,000000; 47,757693
1295,000000; 47,755680
1294,000000; 47,751593
1293,000000; 47,738065
1292,000000; 47,746673
1291,000000; 47,774726
1290,000000; 47,778488
1289,000000; 47,763199
1288,000000; 47,786822
1287,000000; 47,730328
1286,000000; 47,748257
1285,000000; 47,788337
1284,000000; 47,776300
1283,000000; 47,778924
1282,000000; 47,793203
1281,000000; 47,795114
1280,000000; 47,782148
1279,000000; 47,805361
1278,000000; 47,826359
1277,000000; 47,809429
1276,000000; 47,791192
1275,000000; 47,826363
1274,000000; 47,819130
1273,000000; 47,835462
1272,000000; 47,813668
1271,000000; 47,828899
1270,000000; 47,819422
1269,000000; 47,773274
1268,000000; 47,801613
1267,000000; 47,789866
1266,000000; 47,816378
1265,000000; 47,826148
1264,000000; 47,839287
1263,000000; 47,830889
1262,000000; 47,832423
1261,000000; 47,807301
1260,000000; 47,829459
1259,000000; 47,859986
1258,000000; 47,848102
1257,000000; 47,858944
1256,000000; 47,854453
1255,000000; 47,869359
1254,000000; 47,871137
1253,000000; 47,848307
1252,000000; 47,878675
1251,000000; 47,876666
1250,000000; 47,891591
1249,000000; 47,867869
1248,000000; 47,874574
1247,000000; 47,891122
1246,000000; 47,885271
1245,000000; 47,899070
1244,000000; 47,919390
1243,000000; 47,911305
1242,000000; 47,904915
1241,000000; 47,898326
1240,000000; 47,913778
1239,000000; 47,918190
1238,000000; 47,927509
1237,000000; 47,923668
1236,000000; 47,924730
1235,000000; 47,939910
1234,000000; 47,933252
