nm; %R
1334,000000; 54,750363
1333,000000; 54,759394
1332,000000; 54,769572
1331,000000; 54,728424
1330,000000; 54,765367
1329,000000; 54,737903
1328,000000; 54,777344
1327,000000; 54,742139
1326,000000; 54,674729
1325,000000; 54,747104
1324,000000; 54,669620
1323,000000; 54,649097
1322,000000; 54,678846
1321,000000; 54,656436
1320,000000; 54,627596
1319,000000; 54,638637
1318,000000; 54,641567
1317,000000; 54,647836
1316,000000; 54,589053
1315,000000; 54,595141
1314,000000; 54,559564
1313,000000; 54,558506
1312,000000; 54,499115
1311,000000; 54,469336
1310,000000; 54,478294
1309,000000; 54,511899
1308,000000; 54,454346
1307,000000; 54,455330
1306,000000; 54,431208
1305,000000; 54,390875
1304,000000; 54,382185
1303,000000; 54,364733
1302,000000; 54,316390
1301,000000; 54,359568
1300,000000; 54,322854
1299,000000; 54,305515
1298,000000; 54,298644
1297,000000; 54,272728
1296,000000; 54,246457
1295,000000; 54,222121
1294,000000; 54,215585
1293,000000; 54,212227
1292,000000; 54,202541
1291,000000; 54,145281
1290,000000; 54,121426
1289,000000; 54,121576
1288,000000; 54,076102
1287,000000; 54,091748
1286,000000; 54,108221
1285,000000; 54,086337
1284,000000; 54,059132
1283,000000; 54,025538
1282,000000; 53,986193
1281,000000; 54,027883
1280,000000; 54,001289
1279,000000; 53,937015
1278,000000; 53,924810
1277,000000; 53,909661
1276,000000; 53,881797
1275,000000; 53,840669
1274,000000; 53,823873
1273,000000; 53,841632
1272,000000; 53,815077
1271,000000; 53,802310
1270,000000; 53,794036
1269,000000; 53,751142
1268,000000; 53,713135
1267,000000; 53,700533
1266,000000; 53,699048
1265,000000; 53,637942
1264,000000; 53,604100
1263,000000; 53,571698
1262,000000; 53,610327
1261,000000; 53,557176
1260,000000; 53,534588
1259,000000; 53,500663
1258,000000; 53,489604
1257,000000; 53,505655
1256,000000; 53,473681
1255,000000; 53,458092
1254,000000; 53,414658
1253,000000; 53,397676
1252,000000; 53,371524
1251,000000; 53,327425
1250,000000; 53,292676
1249,000000; 53,258684
1248,000000; 53,256241
1247,000000; 53,243205
1246,000000; 53,197404
1245,000000; 53,167855
1244,000000; 53,169641
1243,000000; 53,144690
1242,000000; 53,111758
1241,000000; 53,068310
1240,000000; 53,058077
1239,000000; 53,044112
1238,000000; 53,001478
1237,000000; 52,948050
1236,000000; 52,936603
1235,000000; 52,932790
1234,000000; 52,908057
1233,000000; 52,857935
1232,000000; 52,834468
1231,000000; 52,789906
1230,000000; 52,752986
1229,000000; 52,720098
1228,000000; 52,729952
1227,000000; 52,677031
1226,000000; 52,629118
1225,000000; 52,620656
1224,000000; 52,578432
1223,000000; 52,524859
1222,000000; 52,485158
1221,000000; 52,459273
1220,000000; 52,429520
1219,000000; 52,398247
1218,000000; 52,393292
1217,000000; 52,344478
1216,000000; 52,281191
1215,000000; 52,263209
1214,000000; 52,223348
1213,000000; 52,183462
1212,000000; 52,169278
1211,000000; 52,152335
1210,000000; 52,093518
1209,000000; 52,060292
1208,000000; 52,036046
1207,000000; 51,980632
1206,000000; 51,947797
1205,000000; 51,916221
1204,000000; 51,861704
1203,000000; 51,835265
1202,000000; 51,798458
1201,000000; 51,747272
1200,000000; 51,682669
1199,000000; 51,644256
1198,000000; 51,640018
1197,000000; 51,604999
1196,000000; 51,542416
1195,000000; 51,490985
1194,000000; 51,434447
1193,000000; 51,370838
1192,000000; 51,311694
1191,000000; 51,273048
1190,000000; 51,205041
1189,000000; 51,144489
1188,000000; 51,081198
1187,000000; 50,991456
1186,000000; 50,941797
1185,000000; 50,877203
1184,000000; 50,794710
1183,000000; 50,675069
1182,000000; 50,542421
1181,000000; 50,468010
1180,000000; 50,352252
1179,000000; 50,217331
1178,000000; 50,062085
1177,000000; 49,879782
1176,000000; 49,695685
1175,000000; 49,534045
1174,000000; 49,359602
1173,000000; 49,131088
1172,000000; 48,898901
1171,000000; 48,677282
1170,000000; 48,452651
1169,000000; 48,217514
1168,000000; 47,960874
1167,000000; 47,690144
1166,000000; 47,453674
1165,000000; 47,216628
1164,000000; 46,942603
1163,000000; 46,654915
1162,000000; 46,392698
1161,000000; 46,145622
1160,000000; 45,897296
1159,000000; 45,597649
1158,000000; 45,296813
1157,000000; 45,008820
1156,000000; 44,715523
1155,000000; 44,439859
1154,000000; 44,152943
1153,000000; 43,849689
1152,000000; 43,599331
1151,000000; 43,317891
1150,000000; 42,999114
1149,000000; 42,702675
1148,000000; 42,420176
1147,000000; 42,110639
1146,000000; 41,804321
1145,000000; 41,525099
1144,000000; 41,251212
1143,000000; 40,932232
1142,000000; 40,612683
1141,000000; 40,319932
1140,000000; 40,033668
1139,000000; 39,746371
1138,000000; 39,439329
1137,000000; 39,158063
1136,000000; 38,886307
1135,000000; 38,571626
1134,000000; 38,265059
1133,000000; 37,959246
1132,000000; 37,695877
1131,000000; 37,396162
1130,000000; 37,077993
1129,000000; 36,773626
1128,000000; 36,487463
1127,000000; 36,202396
1126,000000; 35,876246
1125,000000; 35,558201
1124,000000; 35,255124
1123,000000; 34,970521
1122,000000; 34,687817
1121,000000; 34,388137
1120,000000; 34,076144
1119,000000; 33,775064
1118,000000; 33,486958
1117,000000; 33,209247
1116,000000; 32,907658
1115,000000; 32,603434
1114,000000; 32,290453
1113,000000; 31,986376
1112,000000; 31,729165
1111,000000; 31,422721
1110,000000; 31,091229
1109,000000; 30,837347
1108,000000; 30,551315
1107,000000; 30,265870
1106,000000; 30,020138
1105,000000; 29,736978
1104,000000; 29,410478
1103,000000; 29,138576
1102,000000; 28,897797
1101,000000; 28,598261
1100,000000; 28,348221
1099,000000; 28,088392
1098,000000; 27,787572
1097,000000; 27,512826
1096,000000; 27,223958
1095,000000; 26,973898
1094,000000; 26,680770
1093,000000; 26,362605
1092,000000; 26,120933
1091,000000; 25,847140
1090,000000; 25,576121
1089,000000; 25,249320
1088,000000; 25,007950
1087,000000; 24,777777
1086,000000; 24,477706
1085,000000; 24,204985
1084,000000; 23,907674
1083,000000; 23,659500
1082,000000; 23,390501
1081,000000; 23,124452
1080,000000; 22,877368
1079,000000; 22,613670
1078,000000; 22,321865
1077,000000; 22,042748
1076,000000; 21,788892
1075,000000; 21,484276
1074,000000; 21,235799
1073,000000; 20,995342
1072,000000; 20,681141
1071,000000; 20,468654
1070,000000; 20,212365
1069,000000; 19,923198
1068,000000; 19,656661
1067,000000; 19,422186
1066,000000; 19,042823
1065,000000; 18,835918
1064,000000; 18,554114
1063,000000; 18,258802
1062,000000; 18,034182
1061,000000; 17,755920
1060,000000; 17,439221
1059,000000; 17,162078
1058,000000; 16,893399
1057,000000; 16,610290
1056,000000; 16,296648
1055,000000; 16,090971
1054,000000; 15,777542
1053,000000; 15,493882
1052,000000; 15,171547
1051,000000; 14,929844
1050,000000; 14,710152
1049,000000; 14,441378
1048,000000; 14,195343
1047,000000; 13,941894
1046,000000; 13,707229
1045,000000; 13,507979
1044,000000; 13,265598
1043,000000; 13,020422
1042,000000; 12,830724
1041,000000; 12,577167
1040,000000; 12,416782
1039,000000; 12,231072
1038,000000; 11,955604
1037,000000; 11,856691
1036,000000; 11,767554
1035,000000; 11,542093
1034,000000; 11,314777
1033,000000; 11,159399
1032,000000; 11,062641
1031,000000; 10,819429
1030,000000; 10,785236
1029,000000; 10,646856
1028,000000; 10,553961
1027,000000; 10,386221
1026,000000; 10,308990
1025,000000; 10,200678
1024,000000; 10,130826
1023,000000; 10,007536
1022,000000; 9,901166
1021,000000; 9,872639
1020,000000; 9,812355
1019,000000; 9,728165
1018,000000; 9,637731
1017,000000; 9,555553
1016,000000; 9,521903
1015,000000; 9,504198
1014,000000; 9,430922
1013,000000; 9,355968
1012,000000; 9,324978
1011,000000; 9,242494
1010,000000; 9,207758
1009,000000; 9,229910
1008,000000; 9,200085
1007,000000; 9,202276
1006,000000; 9,095230
1005,000000; 9,138217
1004,000000; 9,145114
1003,000000; 9,092952
1002,000000; 9,038506
1001,000000; 9,035456
1000,000000; 9,021548
999,000000; 9,000706
998,000000; 8,986060
997,000000; 9,051256
996,000000; 9,048532
995,000000; 9,009571
994,000000; 8,964316
993,000000; 8,965328
992,000000; 8,975009
991,000000; 8,982637
990,000000; 8,939881
989,000000; 8,898535
988,000000; 8,920406
987,000000; 8,965637
986,000000; 8,922930
985,000000; 8,960964
984,000000; 8,941894
983,000000; 9,045792
982,000000; 8,954951
981,000000; 8,941575
980,000000; 8,897092
979,000000; 8,949197
978,000000; 8,958264
977,000000; 8,921750
976,000000; 8,949745
975,000000; 8,917872
974,000000; 8,891471
973,000000; 8,912518
972,000000; 8,935287
971,000000; 8,904808
970,000000; 8,841172
969,000000; 8,876144
968,000000; 8,872363
967,000000; 8,918860
966,000000; 8,920579
965,000000; 8,990955
964,000000; 8,970993
963,000000; 8,864693
962,000000; 8,897794
961,000000; 8,969173
960,000000; 8,936475
959,000000; 8,832952
958,000000; 8,853021
957,000000; 8,875889
956,000000; 8,918403
955,000000; 8,926748
954,000000; 8,909382
953,000000; 8,847189
952,000000; 8,844062
951,000000; 8,855307
950,000000; 8,803172
949,000000; 8,805313
948,000000; 8,852176
947,000000; 8,852878
946,000000; 8,774419
945,000000; 8,718999
944,000000; 8,706937
943,000000; 8,736169
942,000000; 8,750783
941,000000; 8,736050
940,000000; 8,676297
939,000000; 8,738260
938,000000; 8,743352
937,000000; 8,772206
936,000000; 8,722602
935,000000; 8,697489
934,000000; 8,673700
933,000000; 8,639536
932,000000; 8,633718
931,000000; 8,673014
930,000000; 8,672706
929,000000; 8,646878
928,000000; 8,618592
927,000000; 8,469588
926,000000; 8,499515
925,000000; 8,620916
924,000000; 8,582910
923,000000; 8,529345
922,000000; 8,481811
921,000000; 8,371316
920,000000; 8,403570
919,000000; 8,486565
918,000000; 8,481678
917,000000; 8,460619
916,000000; 8,476175
915,000000; 8,515066
914,000000; 8,365965
913,000000; 8,435169
912,000000; 8,540223
911,000000; 8,376042
910,000000; 8,268304
909,000000; 8,342471
908,000000; 8,331335
907,000000; 8,302466
906,000000; 8,360320
905,000000; 8,369279
904,000000; 8,331357
903,000000; 8,263981
902,000000; 8,237421
901,000000; 8,295192
900,000000; 8,206224
899,000000; 8,143225
898,000000; 8,108138
897,000000; 8,108620
896,000000; 8,073149
895,000000; 7,982112
894,000000; 8,042277
893,000000; 8,073482
892,000000; 8,137988
891,000000; 8,133596
890,000000; 8,079747
889,000000; 7,916225
888,000000; 7,939023
887,000000; 8,066606
886,000000; 8,104561
885,000000; 8,139517
884,000000; 8,071867
883,000000; 8,034111
882,000000; 7,995552
881,000000; 7,912848
880,000000; 7,975053
879,000000; 8,018680
878,000000; 7,910210
877,000000; 7,785297
876,000000; 7,987592
875,000000; 7,897292
874,000000; 7,821950
873,000000; 7,959038
872,000000; 8,128078
871,000000; 8,154675
870,000000; 8,019443
869,000000; 7,841350
868,000000; 7,782593
867,000000; 8,164116
866,000000; 7,959717
865,000000; 7,740590
864,000000; 7,807060
863,000000; 7,842286
862,000000; 7,950717
861,000000; 8,165901
860,000000; 7,211337
859,000000; 6,670201
858,000000; 6,793617
857,000000; 6,620898
856,000000; 7,141299
855,000000; 6,618422
854,000000; 6,926297
853,000000; 7,323411
852,000000; 7,019877
851,000000; 7,130071
850,000000; 7,017085
849,000000; 7,147212
848,000000; 7,146227
847,000000; 7,107747
846,000000; 7,209305
845,000000; 7,017918
844,000000; 7,204353
843,000000; 7,215351
842,000000; 7,113471
841,000000; 7,225764
840,000000; 7,135542
839,000000; 7,182660
838,000000; 7,248909
837,000000; 7,236840
836,000000; 7,227445
835,000000; 7,103448
834,000000; 7,260167
833,000000; 7,270046
832,000000; 7,177889
831,000000; 7,207715
830,000000; 7,143066
829,000000; 7,282600
828,000000; 7,121429
827,000000; 7,102539
826,000000; 7,218464
825,000000; 7,229502
824,000000; 7,276424
823,000000; 7,153841
822,000000; 7,179078
821,000000; 7,169138
820,000000; 7,144073
819,000000; 7,280924
818,000000; 7,181576
817,000000; 7,195021
816,000000; 7,182367
815,000000; 7,249230
814,000000; 7,253982
813,000000; 7,200223
812,000000; 7,187100
811,000000; 7,196697
810,000000; 7,201619
809,000000; 7,223529
808,000000; 7,264685
807,000000; 7,223702
806,000000; 7,224668
805,000000; 7,225741
804,000000; 7,186823
803,000000; 7,165810
802,000000; 7,222657
801,000000; 7,200264
800,000000; 7,203262
799,000000; 7,215372
798,000000; 7,245537
797,000000; 7,227686
796,000000; 7,229806
795,000000; 7,272060
794,000000; 7,258027
793,000000; 7,356853
792,000000; 7,235860
791,000000; 7,316879
790,000000; 7,307856
789,000000; 7,242851
788,000000; 7,274545
787,000000; 7,277507
786,000000; 7,314912
785,000000; 7,295048
784,000000; 7,273886
783,000000; 7,285395
782,000000; 7,325450
781,000000; 7,398099
780,000000; 7,329508
779,000000; 7,264881
778,000000; 7,361101
777,000000; 7,360443
776,000000; 7,480178
775,000000; 7,376326
774,000000; 7,390739
773,000000; 7,385328
772,000000; 7,379548
771,000000; 7,396422
770,000000; 7,478571
769,000000; 7,452414
768,000000; 7,462154
767,000000; 7,487835
766,000000; 7,528602
765,000000; 7,599747
764,000000; 7,586775
763,000000; 7,549187
762,000000; 7,523796
761,000000; 7,600912
760,000000; 7,597681
759,000000; 7,626304
758,000000; 7,652685
757,000000; 7,707049
756,000000; 7,642308
755,000000; 7,670807
754,000000; 7,798827
753,000000; 7,773894
752,000000; 7,822384
751,000000; 7,732518
750,000000; 7,861885
749,000000; 7,839166
748,000000; 7,857804
747,000000; 7,861955
746,000000; 7,852335
745,000000; 7,917328
744,000000; 7,874725
743,000000; 7,962288
742,000000; 7,954119
741,000000; 8,021230
740,000000; 8,058202
739,000000; 8,013989
738,000000; 8,100452
737,000000; 8,047191
736,000000; 8,052653
735,000000; 8,155543
734,000000; 8,120701
733,000000; 8,104230
732,000000; 8,206518
731,000000; 8,201802
730,000000; 8,177832
729,000000; 8,213052
728,000000; 8,227473
727,000000; 8,316159
726,000000; 8,298009
725,000000; 8,359990
724,000000; 8,368844
723,000000; 8,405192
722,000000; 8,394051
721,000000; 8,426409
720,000000; 8,506884
719,000000; 8,511097
718,000000; 8,522045
717,000000; 8,582334
716,000000; 8,563526
715,000000; 8,645609
714,000000; 8,702031
713,000000; 8,689004
712,000000; 8,802371
711,000000; 8,784476
710,000000; 8,814884
709,000000; 8,866398
708,000000; 8,921704
707,000000; 8,959419
706,000000; 9,029773
705,000000; 9,047615
704,000000; 9,173179
703,000000; 9,131270
702,000000; 9,184053
701,000000; 9,233701
700,000000; 9,279163
699,000000; 9,336812
698,000000; 9,393118
697,000000; 9,472968
696,000000; 9,505269
695,000000; 9,598142
694,000000; 9,577221
693,000000; 9,652668
692,000000; 9,733927
691,000000; 9,807839
690,000000; 9,870376
689,000000; 9,947140
688,000000; 9,979889
687,000000; 10,051047
686,000000; 10,103849
685,000000; 10,139562
684,000000; 10,231451
683,000000; 10,300440
682,000000; 10,336332
681,000000; 10,420764
680,000000; 10,486302
679,000000; 10,557513
678,000000; 10,661868
677,000000; 10,722673
676,000000; 10,759825
675,000000; 10,848276
674,000000; 10,911682
673,000000; 11,016466
672,000000; 11,075310
671,000000; 11,169594
670,000000; 11,223497
669,000000; 11,275985
668,000000; 11,355270
667,000000; 11,413987
666,000000; 11,460002
665,000000; 11,559580
664,000000; 11,633801
663,000000; 11,712366
662,000000; 11,793963
661,000000; 11,841532
660,000000; 11,879442
659,000000; 11,980763
658,000000; 12,030907
657,000000; 12,120555
656,000000; 12,206177
655,000000; 12,249171
654,000000; 12,328465
653,000000; 12,385931
652,000000; 12,470112
651,000000; 12,524330
650,000000; 12,551820
649,000000; 12,616597
648,000000; 12,702316
647,000000; 12,788731
646,000000; 12,824777
645,000000; 12,864099
644,000000; 12,896197
643,000000; 12,939833
642,000000; 12,987196
641,000000; 13,050882
640,000000; 13,094321
639,000000; 13,132524
638,000000; 13,173991
637,000000; 13,208455
636,000000; 13,269957
635,000000; 13,311401
634,000000; 13,330912
633,000000; 13,363534
632,000000; 13,384183
631,000000; 13,421035
