nm; %R
1600,000000; 28,150867
1599,000000; 28,090240
1598,000000; 28,163577
1597,000000; 28,284020
1596,000000; 28,173265
1595,000000; 28,133058
1594,000000; 28,261356
1593,000000; 28,132104
1592,000000; 28,243575
1591,000000; 28,268517
1590,000000; 28,226486
1589,000000; 28,238829
1588,000000; 28,145944
1587,000000; 28,260798
1586,000000; 28,325573
1585,000000; 28,355056
1584,000000; 28,332219
1583,000000; 28,336607
1582,000000; 28,383285
1581,000000; 28,389297
1580,000000; 28,338295
1579,000000; 28,391406
1578,000000; 28,478620
1577,000000; 28,357109
1576,000000; 28,474282
1575,000000; 28,497382
1574,000000; 28,507718
1573,000000; 28,455679
1572,000000; 28,606717
1571,000000; 28,549453
1570,000000; 28,598519
1569,000000; 28,559975
1568,000000; 28,628841
1567,000000; 28,633477
1566,000000; 28,580129
1565,000000; 28,609517
1564,000000; 28,643209
1563,000000; 28,636932
1562,000000; 28,623346
1561,000000; 28,725042
1560,000000; 28,700487
1559,000000; 28,683802
1558,000000; 28,746675
1557,000000; 28,722100
1556,000000; 28,748453
1555,000000; 28,819022
1554,000000; 28,763833
1553,000000; 28,859381
1552,000000; 28,831495
1551,000000; 28,837789
1550,000000; 28,807960
1549,000000; 28,862673
1548,000000; 28,863693
1547,000000; 28,884657
1546,000000; 28,859191
1545,000000; 28,949442
1544,000000; 28,895397
1543,000000; 28,936327
1542,000000; 28,926142
1541,000000; 28,968444
1540,000000; 29,004142
1539,000000; 29,060176
1538,000000; 29,079672
1537,000000; 29,044529
1536,000000; 29,038486
1535,000000; 29,056453
1534,000000; 29,044115
1533,000000; 29,049343
1532,000000; 29,093402
1531,000000; 29,069664
1530,000000; 29,091064
1529,000000; 29,180134
1528,000000; 29,169377
1527,000000; 29,123152
1526,000000; 29,148629
1525,000000; 29,161821
1524,000000; 29,192767
1523,000000; 29,238885
1522,000000; 29,296397
1521,000000; 29,303552
1520,000000; 29,242946
1519,000000; 29,283038
1518,000000; 29,278315
1517,000000; 29,309067
1516,000000; 29,324356
1515,000000; 29,313289
1514,000000; 29,378181
1513,000000; 29,288594
1512,000000; 29,272753
1511,000000; 29,385666
1510,000000; 29,372801
1509,000000; 29,430136
1508,000000; 29,446314
1507,000000; 29,462444
1506,000000; 29,502731
1505,000000; 29,482898
1504,000000; 29,503932
1503,000000; 29,522878
1502,000000; 29,512725
1501,000000; 29,550865
1500,000000; 29,553682
1499,000000; 29,526491
1498,000000; 29,490149
1497,000000; 29,537871
1496,000000; 29,623249
1495,000000; 29,607237
1494,000000; 29,591541
1493,000000; 29,578978
1492,000000; 29,609663
1491,000000; 29,660910
1490,000000; 29,685949
1489,000000; 29,730437
1488,000000; 29,723179
1487,000000; 29,722850
1486,000000; 29,747959
1485,000000; 29,761067
1484,000000; 29,774655
1483,000000; 29,753994
1482,000000; 29,769423
1481,000000; 29,800387
1480,000000; 29,853777
1479,000000; 29,838590
1478,000000; 29,885870
1477,000000; 29,941076
1476,000000; 29,923959
1475,000000; 29,885250
1474,000000; 29,872980
1473,000000; 29,897280
1472,000000; 29,927931
1471,000000; 29,951242
1470,000000; 29,936700
1469,000000; 29,913391
1468,000000; 29,932826
1467,000000; 29,987007
1466,000000; 30,040501
1465,000000; 30,054050
1464,000000; 30,058393
1463,000000; 30,038261
1462,000000; 30,046144
